CHECK,census_subdivision_id,census_year,clab_id,fn_name_1,fn_name_2,pop_total_registered,pop_on_reserve_crown,pop_off_reserve_crown,notes,census_subdivision_name,census_subdivision_type_code,band_number,band_name
,5915830,2011,,Katzie,,562,322,240,,Katzie 1,IRI,563,Katzie
,5949813,2011,,Kispiox,,1608,717,891,,Kispiox 1,IRI,532,Kispiox
,5949802,2011,,Kitasoo/Xai'xais,Klemtu,516,323,193,,Kitasoo 1,IRI,540,Kitasoo
,5949807,2011,,Kitselas,,628,296,332,,Kulspai 6,IRI,680,Kitselas
,5949804,2011,,Kitsumkalum,,736,249,487,,Kitsumkaylum 1,IRI,681,Kitsumkalum
,5924820,2011,,Klahoose First Nation,,398,85,313,,Tork 7,IRI,553,Klahoose First Nation
,5955807,2011,,Kwadacha,Fort Ware,540,306,234,,Fort Ware 1,IRI,610,Kwadacha
,5943815,2011,,Kwakiutl,,765,337,428,,Kippase 2,IRI,626,Kwakiutl
,5915816,2011,,Kwantlen First Nation,Fort Langley Band,255,99,156,,McMillan Island 6,IRI,564,Kwantlen First Nation
,5909821,2011,,Kwaw-Kwaw-a-pilt First Nation,,44,34,10,,Kwawkwawapilt 6,IRI,580,Kwaw-kwaw-Apilt
,5943837,2011,,Kwikwasut'inuxw Haxwa'mis,Kwicksutaineuk/Ah-Kwa-Mish Tribes,295,77,218,,Alert Bay,IRI,625,Kwikwasut'inuxw Haxwa'mis
,5915805,2011,,Kwikwetlem First Nation,,85,39,46,,Coquitlam 1,IRI,560,Kwikwetlem First Nation
,5951827,2011,,Lake Babine Nation,,2440,1418,1022,,Woyenne 27,IRI,607,Lake Babine Nation
,5919812,2011,,Lake Cowichan First Nation,,,,,,Cowichan Lake,IRI,643,Lake Cowichan First Nation
,5947809,2011,,Lax Kw'alaams,,3710,709,3001,,Lax Kw'alaams 1,IRI,674,Lax Kw'alaams
,5909880,2011,,Leq' A: Mel First Nation,Lakahahmen,401,138,263,,Lakahahmen 11,IRI,579,Leq' a: mel First Nation
,5953801,2011,,Lheidli T'enneh,,415,122,293,,Fort George (Shelley) 2,IRI,611,Lheidli T'enneh
,5941833,2011,,Lhoosk'uz Dene Nation,Kluskus Indian Band,234,73,161,,Kluskus 1,IRI,721,Lhoosk'uz Dene Nation
,5943837,2011,,Lhtako Dene Nation,Red Bluff,174,70,104,,Alert Bay,IRI,715,Lhtako Dene Nation
,5931843,2011,,Lil'wat,Mount Currie Indian Band,2154,1513,641,,Mount Currie,IRI,557,Lil'wat Nation
,5939805,2011,,Little Shuswap Lake,,343,238,105,,Quaaout 1,IRI,689,Little Shuswap Lake
,5903807,2011,,Lower Kootenay,Yaqan nu?kiy,234,119,115,,Creston 1,IRI,606,Lower Kootenay
,5933807,2011,,Lower Nicola,,1225,561,664,,Nicola Mameet 1,IRI,695,Lower Nicola
,5907805,2011,,Lower Similkameen,,495,288,207,,Chopaka 7 & 8,IRI,598,Lower Similkameen
,5919811,2011,,Lyackson,,209,39,170,,Shingle Point 4,IRI,646,Lyackson
,5933853,2011,,Lytton,,1989,953,1036,,Nuuautin 2,IRI,705,Lytton
,5919815,2011,,Malahat First Nation,,319,173,146,,Malahat 11,IRI,647,Malahat First Nation
,5909878,2011,,Matsqui,,262,117,145,,Matsqui Main 2,IRI,565,Matsqui
,5953802,2011,,Mcleod Lake,,535,140,395,,McLeod Lake 1,IRI,618,McLeod Lake
,5947810,2011,,Metlakatla,,890,94,796,,S1/2 Tsimpsean 2,IRI,673,Metlakatla
,5949817,2011,,Moricetown,,2007,719,1288,,Moricetown 1,IRI,530,Moricetown
,5924803,2011,,Mowachaht/Muchalaht,,603,254,349,,Ahaminaquus 12,IRI,630,Mowachaht/Muchalaht
,5915803,2011,,Musqueam,,1355,783,572,,Musqueam 2,IRI,550,Musqueam
,5931844,2011,,N'quatqua,Anderson Lake,345,204,141,,Nequatque,IRI,556,N'Quatqua
,5951802,2011,,Nadleh Whuten,,543,279,264,,Nautley (Fort Fraser) 1,IRI,612,Nadleh Whuten
,5951803,2011,,Nak'azdli,,1883,753,1130,,Nak'azdli (Necoslie 1),IRI,614,Nak'azdli
,5943837,2011,,Namgis First Nation,,1804,971,833,,Alert Bay,IRI,631,Namgis First Nation
,5921805,2011,,Nanoose First Nation,Snaw-naw-as,251,175,76,,Nanoose,IRI,649,Nanoose First Nation
,5941837,2011,,Nazko First Nation,,374,177,197,,Nazco 20,IRI,720,Nazko First Nation
,5951819,2011,,Nee-Tahi-Buhn Band,,144,54,90,,Omineca 1,IRI,726,Nee-Tahi-Buhn
