FIELD,TYPE,DESCRIPTION
census_subdivision_id,int,take from matching_column in CEN_CENSUS_SUBDIVISIONS
broadband_coverage,float,take from matching column in BCNC_BC_NETWORK_COVERAGE_SP
dsl_cable_coverage,float,take from matching column in BCNC_BC_NETWORK_COVERAGE_SP
fixed_wireless_coverage,float,take from matching column in BCNC_BC_NETWORK_COVERAGE_SP
mobility_coverage,float,take from matching column in BCNC_BC_NETWORK_COVERAGE_SP
satellite_coverage,float,take from matching column in BCNC_BC_NETWORK_COVERAGE_SP
