field,type,description
census_subdivision_id,string,"CENSUS_SUBDIVISION_ID: Foreign Key, linking to CENSUS_SUBDIVISION_ID in CEN_CENSUS_SUBDIVISIONS, e.g., 5901022"
customs_port_of_entry_id,integer,Unique ID
customs_port_of_entry_name,string,Name of the customs port of entry
location,string,Address or location description for the customs port of entry
type,string,Type of customs port of entry
port_id,integer,"If port of entry is an ocean port, ID of the ocean port"
airport_id,integer,"If port of entry is an airport, ID of the airport"
