CSD_UID,OFFNAME,OFF_CSDTYPE,POP,PRIV_DWELL,OCC_DWELL,LAND_AREA,REPPOINT_LATITUDE,REPPOINT_LONGITUDE,MET_NMET_CODE
5909849,Skwahla 2,IRI,0,0,0,0.0982,49.183845,-121.931685,930
5909852,Paqulh,IRI,0,3,0,0.2456,50.121841,-122.527629,999
5909875,Q'alatkú7em,IRI,84,22,22,0.3094,50.051999,-122.540165,999
5909876,Albert Flat 5,IRI,15,8,7,0.8189,49.521445,-121.422914,999
5909877,Upper Sumas 6,IRI,187,61,56,2.5667,49.051764,-122.192159,932
5909878,Matsqui Main 2,IRI,81,23,22,1.3572,49.109951,-122.352282,932
5909879,Holachten 8,IRI,316,136,132,1.3321,49.208196,-122.025458,996
5909880,Lakahahmen 11,IRI,185,89,80,0.4,49.184206,-122.075868,996
5909881,Skweahm 10,IRI,292,139,135,0.72,49.17186,-122.084105,996
5909882,Squawkum Creek 3,IRI,108,31,31,1.625,49.241333,-121.996681,999
5909883,Sachteen,IRI,5,3,3,0.355,49.9863,-122.448657,999
5909884,Skowkale,IRI,795,371,347,0.7157,49.137455,-121.941697,930
5909885,Squiaala,IRI,80,33,29,1.352,49.151138,-121.975649,930
5915001,Langley,DM,104177,39114,37237,308.0329,49.097153,-122.573041,933
5915002,Langley,CY,25081,11810,11315,10.2181,49.099446,-122.658333,933
5915004,Surrey,CY,468251,163986,152847,316.4112,49.108054,-122.797133,933
5915007,White Rock,CY,19339,10498,9866,5.125,49.023197,-122.810129,933
5915011,Delta,DM,99863,35781,34755,180.1138,49.07984,-123.081692,933
5915015,Richmond,CY,190473,71170,67976,129.2668,49.168172,-123.167499,933
5915020,Greater Vancouver A,RDA,13035,6063,5041,815.5928,49.41951,-123.115961,933
5915022,Vancouver,CY,603502,286742,264573,114.9719,49.254333,-123.111209,933
5915025,Burnaby,CY,223218,91383,86839,90.6102,49.246098,-122.965699,933
5915029,New Westminster,CY,65976,32605,30586,15.6258,49.207774,-122.918794,933
5915034,Coquitlam,CY,126456,48083,45553,122.2989,49.297732,-122.774972,933
5915036,Belcarra,VL,644,292,268,5.5018,49.325057,-122.897149,933
5915038,Anmore,VL,2092,706,628,28.2371,49.341813,-122.841536,933
5915039,Port Coquitlam,CY,56342,21533,20651,29.1731,49.251308,-122.760694,933
5915043,Port Moody,CY,32975,12989,12628,25.887,49.303073,-122.873985,933
5915046,North Vancouver,DM,84412,31741,30553,160.7564,49.362383,-123.005411,933
5915051,North Vancouver,CY,48196,24206,22789,11.8306,49.315331,-123.072195,933
5915055,West Vancouver,DM,42694,18670,17074,87.255,49.363437,-123.189945,933
5915062,Bowen Island,IM,3402,1760,1345,50.1353,49.369522,-123.354009,933
5915065,Lions Bay,VL,1318,556,507,2.5338,49.460303,-123.236612,933
5915070,Pitt Meadows,CY,17736,7013,6718,86.5059,49.265749,-122.66192,933
5915075,Maple Ridge,DM,76052,29158,28044,266.7765,49.246264,-122.525089,933
5915801,Semiahmoo,IRI,108,75,63,1.3289,49.012308,-122.771361,933
