census_year,census_subdivision_id,reference_point_longitude,reference_point_latitude,reference_point_elevation,elevation_mean,elevation_max,elevation_min
2011,5909825,-121.96338,49.186215,15,14.3574352,18,10
2011,5909826,-121.99606,49.171387,13,13.29792979,17,7
2011,5909827,-121.955485,49.087226,40,52.13165192,167,34
2011,5909830,-121.948419,49.114901,21,22.23704438,39,15
2011,5909831,-121.936492,49.133814,15,15.65178571,18,13
2011,5909832,-121.724604,49.280165,22,22.44441959,29,13
2011,5909833,-121.932908,49.231589,18,16.43413598,20,10
2011,5909834,-121.760176,49.218192,20,19.04891304,24,15
2011,5909835,-121.992919,49.149959,12,12.33692722,15,9
2011,5909836,-121.428523,49.829264,194,180.8505393,309,102
2011,5909837,-121.762367,49.199245,48,37.84581342,59,14
2011,5909838,-121.834,49.17925,15,14.5693904,17,10
2011,5909839,-121.91245,49.295806,18,22.43524663,214,10
2011,5909841,-121.42707,49.469907,73,68.98916968,137,38
2011,5909842,-122.154944,49.754984,14,30.63255172,323,9
2011,5909843,-121.654011,49.304434,22,21.30689842,39,17
2011,5909844,-121.720046,49.208524,24,24.72868888,62,13
2011,5909845,-122.411906,49.941043,131,254.8018738,691,103
2011,5909847,-121.447593,49.911311,182,184.0520325,262,106
2011,5909848,-122.221659,49.774208,32,31.5,32,30
2011,5909849,-121.931685,49.183845,15,13.90625,17,11
2011,5909852,-122.527629,50.121841,211,206.8581081,220,199
2011,5909875,-122.540165,50.051999,211,207.620202,220,198
2011,5909876,-121.422914,49.521445,79,74.56312165,139,40
2011,5909877,-122.192159,49.051764,12,23.08569371,182,5
2011,5909878,-122.352282,49.109951,26,20.08743392,45,-2
2011,5909879,-122.025458,49.208196,56,38.4068582,125,6
2011,5909880,-122.075868,49.184206,13,15.03215926,31,9
2011,5909881,-122.084105,49.17186,9,10.77595156,17,7
2011,5909882,-121.996681,49.241333,24,54.90161472,169,10
2011,5909883,-122.448657,49.9863,202,188.0157618,332,145
2011,5909884,-121.941697,49.137455,15,15.32229965,18,13
2011,5909885,-121.975649,49.151138,13,23.87365707,178,8
2011,5915001,-122.573041,49.097153,88,63.27102099,145,0
2011,5915002,-122.658333,49.099446,12,18.15362035,54,2
2011,5915004,-122.797133,49.108054,16,37.16610514,125,-5
2011,5915007,-122.810129,49.023197,10,23.31456569,115,0
2011,5915011,-123.081692,49.07984,2,5.576102553,116,-7
2011,5915015,-123.167499,49.168172,5,2.11689246,47,-4
2011,5915020,-123.115961,49.41951,313,435.9248113,1985,0
2011,5915022,-123.111209,49.254333,62,44.20577612,127,-1
2011,5915025,-122.965699,49.246098,17,73.52768245,369,-3
2011,5915029,-122.918794,49.207774,82,39.02602664,128,0
2011,5915034,-122.774972,49.297732,44,242.6908039,1106,0
2011,5915036,-122.897149,49.325057,82,47.59362511,530,0
2011,5915038,-122.841536,49.341813,554,411.324602,1258,0
2011,5915039,-122.760694,49.251308,9,11.66391149,85,0
2011,5915043,-122.873985,49.303073,13,91.22045543,637,0
2011,5915046,-123.005411,49.362383,222,415.2578858,1444,0
2011,5915051,-123.072195,49.315331,78,52.73093812,218,0
2011,5915055,-123.189945,49.363437,754,422.4016234,1323,0
2011,5915062,-123.354009,49.369522,247,140.4978496,728,0
2011,5915065,-123.236612,49.460303,80,100.8816956,389,0
2011,5915070,-122.66192,49.265749,6,12.74050588,437,0
2011,5915075,-122.525089,49.246264,120,303.2176572,1598,0
2011,5915801,-122.771361,49.012308,14,12.52363636,29,2
2011,5915802,-123.095826,49.041219,2,4.578753541,67,-1
2011,5915803,-123.207559,49.233249,29,9.551825102,38,-1
2011,5915804,-122.79319,49.246541,5,5.07326284,13,1
2011,5915805,-122.803597,49.231038,2,2.222222222,4,1
2011,5915806,-122.978458,49.309653,47,53.04567023,99,5
2011,5915807,-123.087159,49.315292,13,13.24242424,55,0
2011,5915808,-123.130669,49.321832,9,8.976365869,52,0
2011,5915809,-122.695436,49.188689,3,4.145005371,10,2
2011,5915810,-123.125035,49.066838,3,2.718244804,5,-2
2011,5915811,-123.022642,49.307912,8,7.976309227,26,1
2011,5915813,-122.652653,49.194245,6,5.74796748,11,2
2011,5915816,-122.564558,49.17464,12,10.36163522,14,2
2011,5915825,-122.474747,49.00528,51,54,90,40
2011,5915830,-122.673083,49.20367,5,5.815249267,8,0
2011,5915835,-122.529254,49.17902,85,51.39626258,95,3
2011,5915840,-122.460738,49.175902,16,18.49038462,44,3
2011,5917005,-123.442964,48.656708,20,37.74616004,305,0
2011,5917010,-123.405769,48.654278,16,10.11993888,35,0
2011,5917015,-123.42098,48.582529,61,52.17367328,293,0
2011,5917021,-123.387869,48.495806,52,59.95724862,338,0
2011,5917027,-123.490475,48.829143,176,104.0401471,706,0
2011,5917029,-123.299408,48.80453,30,13.29112903,402,0
2011,5917030,-123.308149,48.431253,14,21.66458905,91,0
2011,5917034,-123.357474,48.428481,30,21.32073358,72,0
2011,5917040,-123.413619,48.429576,30,15.87903363,76,0
2011,5917041,-123.477109,48.423272,20,59.39776141,221,0
2011,5917042,-123.559574,48.373306,183,101.1477509,403,0
2011,5917044,-123.529895,48.453329,77,119.0481642,415,0
2011,5917047,-123.466825,48.462963,49,50.06273984,187,0
2011,5917049,-123.500378,48.5181,211,189.215745,445,0
2011,5917052,-123.701349,48.395294,24,101.5860272,545,0
2011,5917054,-123.612037,48.355988,231,47.14115905,673,0
2011,5917056,-124.035354,48.583072,134,391.3612178,1132,0
2011,5917801,-123.455058,48.620457,134,110.83833,265,4
2011,5917802,-123.449252,48.665114,11,8.551198257,13,3
2011,5917803,-123.387352,48.591283,22,19.63349571,57,0
2011,5917804,-123.457773,48.584337,53,50.22135806,80,0
2011,5917805,-123.583805,49.005676,27,19.38717949,52,0
2011,5917809,-123.597847,48.339081,21,59.56880302,171,0
2011,5917811,-123.430355,48.445127,17,19.3591954,47,0
2011,5917812,-123.421322,48.444697,43,27.60858144,60,0
2011,5917815,-124.407821,48.579076,3,3.16502193,7,0
2011,5917819,-123.747825,48.363219,9,13.9588581,33,0
2011,5919008,-123.707255,48.846462,13,136.6517662,786,-1
2011,5919012,-123.70267,48.779608,17,19.92377222,43,7
2011,5919013,-123.59391,48.757957,0,14.77745787,113,0
2011,5919015,-123.627637,49.044366,67,282.5298108,1537,0
2011,5919016,-124.065479,48.825541,215,193.4128771,432,146
2011,5919017,-123.86422,49.029543,25,159.9124933,785,0
2011,5919021,-123.806677,48.979354,31,68.34894936,285,0
2011,5919033,-124.392078,48.724782,286,434.481106,1257,0
2011,5919035,-124.379171,48.952913,1059,612.9011449,1528,73
2011,5919043,-123.545667,48.621475,125,129.5643089,587,0
2011,5919046,-123.708216,48.652633,146,373.687738,884,12
2011,5919049,-123.559054,48.701726,44,57.23085911,294,0
2011,5919051,-123.794069,48.775986,78,247.2749987,1143,2
2011,5919801,-123.692731,48.873615,11,12.19543147,80,5
2011,5919802,-123.695276,48.901495,24,27.7405303,48,8
2011,5919803,-123.67546,48.883461,5,5.874396135,11,4
2011,5919804,-123.789147,49.019832,8,45.46663116,145,0
2011,5919808,-123.609116,48.738509,45,37.33429395,72,2
2011,5919809,-123.645443,48.957953,47,42.83696695,93,0
2011,5919811,-123.63854,49.041618,46,36.1625387,85,5
2011,5919812,-124.073604,48.827015,218,232.5576923,304,164
2011,5919814,-124.669102,48.807179,20,25.13676149,75,2
2011,5919815,-123.530958,48.61809,127,83.15991851,145,0
2011,5919816,-123.860593,49.016733,62,25.51351351,81,0
2011,5919817,-123.597072,49.015962,12,9.741935484,20,0
2011,5919818,-123.638167,48.742518,38,35.62201835,57,0
2011,5919820,-123.606565,48.71393,72,63.14038462,98,45
2011,5919821,-123.829378,48.759646,53,52.52272727,56,49
2011,5919822,-123.642472,48.768182,7,51.38547057,504,-2
2011,5921007,-123.953516,49.179414,64,62.50051763,321,0
2011,5921008,-124.096342,49.239952,119,181.1019527,507,0
2011,5921010,-123.825209,49.089021,51,30.39459765,127,0
2011,5921014,-123.70342,49.146765,41,13.41002115,184,0
2011,5921016,-124.293604,49.109093,731,443.2705988,1815,0
2011,5921018,-124.303341,49.3194,15,21.24089699,69,0
2011,5921023,-124.428756,49.345848,55,48.1984816,104,0
2011,5921030,-124.16976,49.296404,41,52.1294147,554,0
2011,5921032,-124.470702,49.283396,147,279.1290538,1111,20
2011,5921034,-124.380853,49.353055,8,12.29453829,121,0
2011,5921036,-124.680368,49.402494,137,299.7841756,1554,0
2011,5921804,-123.928901,49.150229,17,15.0974026,23,0
2011,5921805,-124.120524,49.250287,65,36.14958449,91,0
2011,5921806,-124.614454,49.400607,5,7.058634538,24,0
2011,5921807,-123.874405,49.124396,23,12.96522684,33,4
2011,5923008,-124.802648,49.24613,31,49.13242425,198,0
2011,5923019,-125.558074,48.943565,32,10.89926036,82,0
2011,5923025,-125.894066,49.130083,13,10.45308964,86,0
2011,5923033,-124.920747,49.356742,99,350.4023418,1486,32
2011,5923035,-125.247397,49.303456,475,573.5345936,2034,0
2011,5923037,-124.859592,49.301431,58,58.16469071,136,6
2011,5923039,-124.753258,49.193171,119,451.1618191,1568,0
2011,5923047,-124.973875,48.867115,421,253.0352178,1491,0
2011,5923049,-125.826073,49.176393,481,266.1228595,1815,0
2011,5923801,-124.823701,49.265036,9,11.00309598,22,5
2011,5923802,-124.808732,49.214535,105,75.74358974,129,18
2011,5923803,-125.119236,48.79851,7,15.76314162,60,0
2011,5923804,-125.575014,48.978761,8,10.37974684,30,0
