FIELD,TYPE,DESCRIPTION
jtst_geography_id,text,GEOGRAPHY_ID: is a foreign Key to link to IDs in CEN_CENSUS_ECONOMIC_REGIONS or CEN_CENSUS_METRO_AREAS
unemployment_current,number,Current unemployment (percentage)
unemployment_y1,number,One year forecast unemployment (percentage)
unemployment_y2,number,Two year forecast unemployment (percentage)
