FIELD,TYPE,DESCRIPTION
jtst_geography_id,text,JTST_GEOGRAPHY_ID: is a foreign Key to link to IDs in lmsm_regional_3digitnoc.csv
statscan_geography_id,text,GEOGRAPHY_ID: is a foreign Key to link to IDs in CENSUS geography tables
