field,type,length,description
telecomm_utility_id,integer,1,"Primary key, unique identifier associated with the telecom company"
telecomm_utility_name,string,28,Name of the telcom company
telecomm_utiltiy_web_site,string,14,Web site of the telecom company
telecomm_utiltiy_bc_address,string,44,Address of the telecom company
