field,type,description
utility_id,integer,"Primary key, unique identifier associated with the electrical utility"
utility_name,string,Name of the electrical utility
web_url,string,Web site of the electrical utility
small_servce_rate,float,"Average price of electrictiy ($/kWh) at service of approximately 40kW or less and 10,000kWh"
medium_service_rate,float,"Average price of electrictiy ($/kWh) at service of approximately 500kW and 100,000kWh"
large_service_rate,float,"Average price of electrictiy ($/kWh) at service of approximately 5000kW and 2,340,000kWh"
rate_source,string,url of source used to determine service rates
