field,type,description
ORIGIN_ID,string,CENSUS_SUBDIVISION_ID of origin community
ORIGIN_NAME,string,Name of origin community
DESTINATION_ID,string,CENSUS_SUBDIVISION_ID of destination community
DESTINATION_NAME,string,Name of destination community
DRIVEDISTANCE_KM,integer,Driving distance in kilometers between origin community and destination communities
DRIVETIME_TEXT,string,A textual summary of the driving time between origin and destination community
DRIVETIME_MINUTES,integer,Drive time in minutes between origin and destination community
FERRY_IND,boolean,Indicates if ferry travel is required between the origin and destination community
