census_year,census_subdivision_id,arabic,cantonese,croatian,czech,dutch,english,english_and_french,finnish,french,german,greek,hindi,hungarian,ilocano,italian,japanese,korean,malay,mandarin,other,panjabi,persian,polish,portuguese,romanian,russian,serbian,spanish,tagalog,tamil,ukrainian,vietnamese
2011,5909831,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909832,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909833,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909834,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909835,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909836,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909837,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909838,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909839,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909841,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909842,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909843,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909844,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909845,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909847,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909848,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909849,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909852,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909875,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909876,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909877,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909878,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909879,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909880,0,0,0,0,0,170,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909881,0,0,0,0,0,290,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909882,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909883,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909884,0,0,0,0,0,775,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909885,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5915001,90,125,30,30,85,95980,95,5,215,145,30,45,80,5,45,105,2020,5,745,785,1060,75,100,35,55,120,30,425,195,10,10,595
2011,5915002,30,35,5,10,10,22985,10,0,60,30,5,30,25,0,20,20,205,5,105,500,55,50,50,20,25,40,20,180,90,0,5,75
2011,5915004,1875,2685,205,175,120,325655,785,40,1185,520,170,6885,280,210,275,435,6365,150,8575,15620,73620,1345,1300,435,295,815,240,3370,6410,320,190,4440
2011,5915007,10,30,0,10,15,17345,30,20,95,90,15,5,15,10,15,35,160,0,215,210,80,10,25,15,15,85,35,25,60,0,10,20
2011,5915011,40,695,20,40,35,83750,145,20,245,160,95,770,40,30,65,115,180,10,1320,1880,7825,75,135,70,65,190,45,475,475,20,10,65
2011,5915015,640,26550,85,65,40,108390,355,20,450,185,95,455,55,75,65,1140,600,145,17920,21090,3630,745,155,130,145,1495,150,970,3305,125,75,405
2011,5915020,125,265,0,5,10,7355,25,5,90,70,5,15,0,0,5,90,800,10,1750,1535,20,235,10,55,10,80,5,175,15,15,5,5
2011,5915022,1660,49175,475,190,135,421080,1335,95,3815,1100,955,1915,335,525,2040,3560,5445,395,19030,38560,10500,3875,860,1545,445,2085,1325,5245,9345,1035,140,7475
2011,5915025,890,12935,735,105,40,144550,460,85,705,235,170,850,245,75,1290,1115,5770,285,16265,17505,3125,2645,535,535,515,1855,1155,2200,3015,240,110,1210
2011,5915029,300,635,45,45,20,53210,135,5,240,80,20,240,115,25,65,155,770,30,1355,2005,1725,425,210,80,500,570,295,545,1185,35,35,80
2011,5915034,450,4350,225,70,25,91935,240,60,425,120,50,180,220,25,305,360,6210,145,4640,5345,515,4275,535,165,615,1105,185,1115,940,35,60,275
2011,5915036,0,0,0,0,0,625,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2011,5915038,0,5,5,0,0,1890,5,0,10,5,0,0,0,0,0,10,30,5,10,40,0,15,20,5,5,25,0,0,10,0,0,0
2011,5915039,155,1255,65,45,10,47255,90,10,205,65,15,135,65,15,55,90,915,20,680,1350,560,650,450,65,325,385,65,400,380,10,15,90
2011,5915043,50,375,25,20,15,27485,85,15,100,60,5,5,45,0,25,80,1495,15,460,655,25,630,110,55,165,305,65,375,95,15,5,30
2011,5915046,55,710,25,90,50,73840,160,5,440,210,50,45,60,15,100,300,1260,15,535,1310,135,3005,165,65,50,215,30,535,265,0,5,10
2011,5915051,55,260,45,35,10,39585,140,15,310,85,40,30,65,55,85,300,980,10,260,955,190,2500,190,55,115,240,60,415,685,5,5,10
2011,5915055,35,375,20,35,25,34640,80,5,230,175,10,10,25,5,45,130,695,10,1150,1285,30,2525,85,20,35,125,30,235,60,5,10,5
2011,5915062,0,0,0,5,10,3275,10,0,25,25,0,0,0,0,0,0,15,0,0,10,0,0,5,0,5,10,0,5,0,0,0,0
2011,5915065,0,5,0,0,10,1235,0,0,0,20,0,0,5,0,0,0,0,0,5,5,0,15,5,0,0,5,0,5,0,0,0,0
2011,5915070,0,60,10,5,15,16220,30,10,60,25,10,15,10,0,10,10,150,5,70,160,315,60,55,25,65,80,0,125,100,0,5,10
2011,5915075,30,135,15,40,50,71155,105,20,185,75,20,50,90,5,55,40,570,10,250,545,495,295,180,65,120,205,10,250,185,5,5,120
2011,5915801,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5915802,0,5,5,0,0,705,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5915803,0,10,0,0,0,1455,0,0,5,0,0,0,0,0,0,0,25,0,10,35,0,0,0,0,0,0,0,5,0,0,0,0
2011,5915804,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5915805,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5915806,0,10,0,5,0,1325,0,0,20,0,0,0,0,0,0,10,40,0,5,25,0,25,0,0,0,0,0,0,0,0,0,0
2011,5915807,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5915808,10,0,0,0,0,1975,10,0,15,0,0,0,10,5,0,10,165,0,20,20,0,410,5,0,0,25,0,0,15,0,0,0
2011,5915809,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5915810,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5915811,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
