census_year,census_subdivision_id,tmax01,tmax07,tmin01,tmin07,tave01,tave07,map,pas,mar
2011,5945014,3.5,22.2,-1.8,11.4,0.9,16.8,1631,143,1488
2011,5945801,6.2,18.9,1.6,10.4,3.9,14.7,2951,110,2841
2011,5945802,2.2,21.2,-3.1,10.3,-0.4,15.8,1813,257,1556
2011,5945803,5.4,18.6,1.3,11,3.4,14.8,2713,119,2594
2011,5947007,2.5,17.2,-2.3,10.4,0.1,13.8,2987,292,2695
2011,5947012,1.9,14.8,-2.6,9.4,-0.3,12.1,3840,554,3286
2011,5947016,4.1,16.7,-0.8,10.7,1.7,13.7,2601,170,2431
2011,5947021,-1.8,16.8,-7.4,8.5,-4.6,12.6,6777,2977,3800
2011,5947023,5.3,17.4,0.8,10.6,3.1,14,1494,75,1419
2011,5947026,5.4,18.1,0.9,10.5,3.1,14.3,2107,114,1993
2011,5947027,5.1,16.6,0.7,10.4,2.9,13.5,1461,83,1378
2011,5947030,5.2,18.3,0.6,10.6,2.9,14.5,1604,86,1518
2011,5947032,4,16.9,0,9.4,2,13.2,3460,345,3115
2011,5947803,5.4,17.3,0.8,10.7,3.1,14,1518,74,1444
2011,5947804,5,17.4,0.8,10.4,2.9,13.9,1925,115,1810
2011,5947806,2.8,18.5,-2.3,11,0.3,14.8,4087,374,3713
2011,5947807,5.1,16.3,0.5,10.7,2.8,13.5,2276,116,2160
2011,5947809,3.4,16.4,-1.2,10.5,1.1,13.4,2883,225,2658
2011,5947810,4.7,16.5,-0.2,10.9,2.2,13.7,2479,136,2343
2011,5949005,0.6,21.5,-3.9,11.6,-1.6,16.6,2301,359,1942
2011,5949011,-0.4,21.3,-5.2,10.9,-2.8,16.1,1390,320,1070
2011,5949013,-0.3,21.8,-5.2,11.1,-2.7,16.4,1206,250,956
2011,5949018,-0.2,22.1,-5,11.3,-2.6,16.7,1254,251,1003
2011,5949020,1,21.7,-4.2,10.8,-1.6,16.2,2233,382,1851
2011,5949022,-3.4,22.3,-10.1,9.1,-6.7,15.7,566,149,417
2011,5949024,-3.5,22,-10.2,9,-6.8,15.5,562,151,411
2011,5949028,-4.6,15.9,-11.1,5.7,-7.8,10.8,980,484,496
2011,5949032,-3.8,15.1,-9.9,6.1,-6.8,10.6,2545,1476,1069
2011,5949035,0.1,20.3,-5.2,11.1,-2.6,15.7,1314,252,1062
2011,5949038,-11,19.1,-19,6.5,-15,12.8,462,193,269
2011,5949039,-2.9,22.7,-9.2,9,-6.1,15.8,739,223,516
2011,5949041,-8.6,19.1,-15.9,6,-12.2,12.5,643,330,313
2011,5949802,3.6,18.6,-0.8,10.6,1.4,14.6,4628,378,4250
2011,5949803,0.5,21.6,-4.1,11.5,-1.8,16.5,2364,386,1978
2011,5949804,0,22.2,-4.9,11.5,-2.4,16.8,1224,228,996
2011,5949805,-0.3,22.3,-5.1,11.3,-2.7,16.8,1201,241,960
2011,5949807,0,22.3,-4.8,11.5,-2.4,16.9,1249,235,1014
2011,5949810,-3.7,21.8,-10.5,8.5,-7.1,15.2,571,165,406
2011,5949811,-3.4,22.3,-10,9.2,-6.7,15.7,564,149,415
2011,5949812,-3.4,22.6,-9.9,9.3,-6.6,16,564,146,418
2011,5949813,-3.4,22.8,-9.8,9.5,-6.6,16.2,572,144,428
2011,5949814,-3.4,22.6,-9.7,9.4,-6.5,16,595,172,423
2011,5949815,-3.1,21.9,-9.2,9.3,-6.1,15.6,600,171,429
2011,5949816,-2.5,23.4,-8.7,10,-5.6,16.7,644,171,473
2011,5949817,-3.7,21.9,-10.4,8.6,-7.1,15.2,567,163,404
2011,5949818,-3.4,22.8,-9.8,9.5,-6.6,16.2,565,144,421
2011,5949819,-3.7,21.8,-10.5,8.4,-7.1,15.1,571,165,406
2011,5949820,-3.7,21.8,-10.5,8.5,-7.1,15.1,568,165,403
2011,5949830,-8.7,19.1,-16.4,5.9,-12.6,12.5,454,190,264
2011,5949832,-8.4,19,-16.4,5.8,-12.4,12.4,450,190,260
2011,5949843,-8.4,22.6,-16,8.6,-12.2,15.6,372,178,194
2011,5949844,-0.5,22.2,-5.4,11,-2.9,16.6,1059,229,830
2011,5949845,-11.2,19.4,-19.1,6.7,-15.2,13,459,189,270
2011,5949846,-8.6,22.4,-16.2,8.4,-12.4,15.4,420,196,224
2011,5949847,-7.4,22,-16.1,8.1,-11.8,15.1,386,187,199
2011,5951007,-4.4,22.7,-13.6,7.9,-9,15.3,514,188,326
