Name,First Nations/Band Name,Type,Nation,Population,Address,City,Province,Postal Code,Latitude,Longitude
Tahltan Band Council,Tahltan,First Nation or Band,Tahltan,1860,PO BOX 46,Telegraph Creek,BC,V0J 2W0,57.909424,-131.163574
Takla Lake First Nation,Takla Lake First Nation,First Nation or Band,Sekani/Dakelh (Carrier),763,"Unit 11, 1839 1st Avenue",Prince George,BC,V2L 2Y8,55.483032,-125.968567
Taku River Tlingit First Nation,Taku River Tlingit First Nation,First Nation or Band,,395,PO Box 132.,Atlin,BC,V0W 1A0,59.567149,-133.703856
Tk'emlÌÎå_ps te SecwÌÎå©pemc,,First Nation or Band,Secwepemc,1262,200 - 355 Yeellowhead HWY,Kamloops,BC,V2H 1H1,50.68103,-120.297668
Tl'az't'en Nation,Tl'azt'en Nation ,First Nation or Band,Dakelh (Carrier),1731,PO BOX 670,Fort St. James,BC,V0J 1P0,54.653889,-124.758056
Tl'etinqox-t'in,Anaham,First Nation or Band,Tsilhqot'in,1560,PO BOX 168,Alexis Creek,BC,V0L 1A0,52.020813,-123.181885
Tla-o-qui-aht First Nations,,First Nation or Band,Nuu-chah-nulth,1071,PO BOX 18,Tofino,BC,V0R 2Z0,49.17804,-125.911072
Tlatlasikwala,Nuwitti,First Nation or Band,Kwakwaka'wakw,66,PO BOX 339,Port Hardy,BC,V0N 2P0,50.917603,-127.914673
Tlowitsis Tribe,,First Nation or Band,Kwakwaka'wakw,407,1345 Bute CRES,Campbell River,BC,V9H 1G6,50.531982,-125.982666
Tobacco Plains,Akan'kunik,First Nation or Band,Ktunaxa,200,PO BOX 76,Grasmere,BC,V0B 1R0,49.043889,-115.101944
Toosey,Tl'esqox,First Nation or Band,Tsilhqot'in,328,PO BOX 80,Riske Creek,BC,V0L 1T0,51.92041,-122.483765
Toquaht,,First Nation or Band,Nuu-chah-nulth,145,PO BOX 759,Ucluelet,BC,V0R 3A0,48.993591,-125.383789
Ts'il Kaz Koh First Nation,Burns Lake,First Nation or Band,Dakelh (Carrier),127,Bag 9000    ,Burns Lake ,BC,V0J 1E0,54.238156,-125.768232
Ts'kw'aylaxw,Pavilion,First Nation or Band,St'at'imc/Secwepemc,555,PO BOX 2200,Lillooet,BC,V0K 1V0,50.885,-121.838056
