Name,First Nations/Band Name,Type,Nation,Population,Address,City,Province,Postal Code,Latitude,Longitude
N'Quatqua,Anderson Lake,First Nation or Band,St'ÌÎÌt'imc,344,PO BOX 88,D'Arcy,BC,V0N 1L0,50.528056,-122.483889
Nadleh Whuten,,First Nation or Band,Dakelh (Carrier),535,PO BOX 36,Fort Fraser,BC,V0J 1N0,54.076944,-124.601111
Nak'azdli Band,Nak'azdli,First Nation or Band,Dakelh (Carrier),1872,PO BOX 1329,Fort St. James,BC,V0J 1P0,54.431396,-124.247498
Namgis First Nation,,First Nation or Band,Kwakwaka'wakw,1795,PO BOX 210,Alert Bay,BC,V0N 1A0,50.596191,-126.947571
Nanoose First Nation,Snaw-naw-as First Nation,First Nation or Band,Coast Salish,253,209 Mallard Way,Lantzville,BC,V0R 2H0,49.254395,-124.129089
Nazko First Nation,,First Nation or Band,Dakelh (Carrier),374,PO BOX 4129,Quesnel,BC,V2J 3J2,52.954224,-123.583618
Nee Tahi Buhn,,First Nation or Band,Office of the Wet'suwet'en,143,RR 2 Site 7 Comp 28   ,  Burns Lake,BC,V0J 1E0,53.992867,-125.848692
Neskonlith,,First Nation or Band,Secwepemc,650,PO BOX 318,Chase,BC,V0E 1M0,50.783997,-119.753967
Nicomen,,First Nation or Band,Nlaka'pamux,133,PO BOX 670,Lytton,BC,V0K 1Z0,50.265015,-121.398987
Nisg'aa Village of Gitlaxt'aamiks,New Aiyansh,First Nation or Band,Nisga'a ,,,,BC,,55.208233,-129.083948
Nisga'a Village of Gingolx,Kincolith,First Nation or Band,Nisga'a ,1981,607 Front St.,Gingolx,BC,V0V1B0,54.996033,-129.95697
Nisga'a Village of New Aiyansh,,First Nation or Band,Nisga'a,1842,PO BOX 233,New Aiyansh,BC,V0J 1A0,55.197021,-129.070984
NisgaåäÌÝå»a Village of Gitwinksihlkw,NisgaåäÌÝå»a Village of Gitwinksihlkw,First Nation or Band,Nisga'a,397,PO BOX 1,Gitwinksihlkw,BC,V0J 3T0,55.192993,-129.221985
NisgaåäÌÝå»a Village of LaxgaltåäÌÝå»sap,NisgaåäÌÝå»a Village of LaxgaltåäÌÝå»sap,First Nation or Band,Nisga'a,1769,PO BOX 200,Greenville,BC,V0J 1X0,55.037842,-129.555786
Nooaitch,,First Nation or Band,Nlaka'pamux,218,2954 Shackelly RD,Merritt,BC,V1K 1N9,50.189392,-121.058411
Nuchatlaht,"nuåÛåa-åÌ¢Ì_ÌÒtåàÌ_å«, Oclucje",First Nation or Band,Nuu-chah-nulth,157,PO BOX 40,Zeballos,BC,V0P 2A0,49.989624,-126.941711
Nuxalk Nation,,First Nation or Band,Nuxalk,1677,PO BOX 65,Bella Coola,BC,V0T 1C0,52.376221,-126.730408
Okanagan,,First Nation or Band,Syilx / Sqilxw,1960,12420 Westside RD,Vernon,BC,V1H 2A4,50.448056,-119.353056
Old Massett Village Council,,First Nation or Band,Haida,2967,PO BOX 189,Old Masset,BC,V0T 1M0,54.038635,-132.180176
Oregon Jack Creek,,First Nation or Band,Nlaka'pamux,65,PO BOX 940,Ashcroft,BC,V0K 1A0,50.619629,-121.31958
Osoyoos Indian Band,Osoyoos ,First Nation or Band,,532,RR 3 SITE 25 COMP 1,Oliver,BC,V0H 1T0,49.185159,-119.532774
Pacheedaht First Nation,,First Nation or Band,Nuu-chah-nulth,277,General Delivery,Port Renfrew,BC,V0S 1K0,48.578796,-124.408264
Pauquachin,BOåàÌ_åÁEåÛåÊEN,First Nation or Band,Coast Salish,401,9010 West Saanich RD,Sidney,BC,V8L 5W4,48.622803,-123.457886
Penelakut Tribe,,First Nation or Band,Coast Salish,931,PO BOX 360,Chemainus,BC,V0R 1K0,48.971619,-123.655396
