CENSUS_SUBDIVISION_ID,ELEVATION_POINT,ELEVATION_MEAN,ELEVATION_MAX,ELEVATION_MIN
5909841,73.0,68.9891696751,137.0,38.0
5909842,14.0,30.6325517241,323.0,9.0
5909843,22.0,21.3068984248,39.0,17.0
5909844,24.0,24.7286888793,62.0,13.0
5909845,131.0,254.801873794,691.0,103.0
5909847,182.0,184.05203252,262.0,106.0
5909848,32.0,31.5,32.0,30.0
5909849,15.0,13.90625,17.0,11.0
5909852,211.0,206.858108108,220.0,199.0
5909875,211.0,207.62020202,220.0,198.0
5909876,79.0,74.5631216526,139.0,40.0
5909877,12.0,23.085693711,182.0,5.0
5909878,26.0,20.0874339162,45.0,-2.0
5909879,56.0,38.406858202,125.0,6.0
5909880,13.0,15.0321592649,31.0,9.0
5909881,9.0,10.7759515571,17.0,7.0
5909882,24.0,54.9016147202,169.0,10.0
5909883,202.0,188.015761821,332.0,145.0
5909884,15.0,15.3222996516,18.0,13.0
5909885,13.0,23.8736570692,178.0,8.0
5915001,88.0,63.2710209852,145.0,0.0
5915002,12.0,18.1536203523,54.0,2.0
5915004,16.0,37.1661051445,125.0,-5.0
5915007,10.0,23.3145656939,115.0,0.0
5915011,2.0,5.57610255325,116.0,-7.0
5915015,5.0,2.11689245953,47.0,-4.0
5915020,313.0,435.924811261,1985.0,0.0
5915022,62.0,44.2057761225,127.0,-1.0
5915025,17.0,73.527682454,369.0,-3.0
5915029,82.0,39.0260266447,128.0,0.0
5915034,44.0,242.690803867,1106.0,0.0
5915036,82.0,47.5936251144,530.0,0.0
5915038,554.0,411.32460204,1258.0,0.0
5915039,9.0,11.6639114884,85.0,0.0
5915043,13.0,91.2204554341,637.0,0.0
5915046,222.0,415.257885808,1444.0,0.0
5915051,78.0,52.7309381238,218.0,0.0
5915055,754.0,422.401623396,1323.0,0.0
5915062,247.0,140.497849646,728.0,0.0
5915065,80.0,100.881695637,389.0,0.0
5915070,6.0,12.7405058758,437.0,0.0
5915075,120.0,303.217657202,1598.0,0.0
5915801,14.0,12.5236363636,29.0,2.0
5915802,2.0,4.57875354108,67.0,-1.0
5915803,29.0,9.55182510248,38.0,-1.0
5915804,5.0,5.07326283988,13.0,1.0
5915805,2.0,2.22222222222,4.0,1.0
5915806,47.0,53.0456702254,99.0,5.0
5915807,13.0,13.2424242424,55.0,0.0
5915808,9.0,8.97636586863,52.0,0.0
5915809,3.0,4.14500537057,10.0,2.0
5915810,3.0,2.7182448037,5.0,-2.0
5915811,8.0,7.97630922693,26.0,1.0
5915813,6.0,5.74796747967,11.0,2.0
5915816,12.0,10.3616352201,14.0,2.0
5915825,51.0,54.0,90.0,40.0
5915830,5.0,5.81524926686,8.0,0.0
5915835,85.0,51.3962625779,95.0,3.0
5915840,16.0,18.4903846154,44.0,3.0
5917005,20.0,37.7461600433,305.0,0.0
5917010,16.0,10.1199388846,35.0,0.0
5917015,61.0,52.173673284,293.0,0.0
5917021,52.0,59.9572486227,338.0,0.0
5917027,176.0,104.04014706,706.0,0.0
5917029,30.0,13.2911290286,402.0,0.0
5917030,14.0,21.6645890468,91.0,0.0
5917034,30.0,21.3207335771,72.0,0.0
5917040,30.0,15.8790336301,76.0,0.0
5917041,20.0,59.3977614138,221.0,0.0
5917042,183.0,101.147750889,403.0,0.0
5917044,77.0,119.048164208,415.0,0.0
5917047,49.0,50.0627398383,187.0,0.0
5917049,211.0,189.215745037,445.0,0.0
5917052,24.0,101.5860272,545.0,0.0
5917054,231.0,47.1411590495,673.0,0.0
5917056,134.0,391.361217756,1132.0,0.0
5917801,134.0,110.838330002,265.0,4.0
5917802,11.0,8.55119825708,13.0,3.0
5917803,22.0,19.6334957087,57.0,0.0
5917804,53.0,50.2213580616,80.0,0.0
5917805,27.0,19.3871794872,52.0,0.0
5917809,21.0,59.568803016,171.0,0.0
5917811,17.0,19.3591954023,47.0,0.0
5917812,43.0,27.6085814361,60.0,0.0
5917815,3.0,3.16502192982,7.0,0.0
5917819,9.0,13.9588581024,33.0,0.0
5919008,13.0,136.651766193,786.0,-1.0
5919012,17.0,19.9237722205,43.0,7.0
5919013,0.0,14.7774578746,113.0,0.0
5919015,67.0,282.529810823,1537.0,0.0
5919016,215.0,193.412877082,432.0,146.0
5919017,25.0,159.912493252,785.0,0.0
5919021,31.0,68.3489493627,285.0,0.0
5919033,286.0,434.48110598,1257.0,0.0
5919035,1059.0,612.901144927,1528.0,73.0
5919043,125.0,129.564308888,587.0,0.0
5919046,146.0,373.687737973,884.0,12.0
5919049,44.0,57.2308591142,294.0,0.0
5919051,78.0,247.274998732,1143.0,2.0
5919801,11.0,12.1954314721,80.0,5.0
5919802,24.0,27.740530303,48.0,8.0
5919803,5.0,5.87439613527,11.0,4.0
5919804,8.0,45.4666311585,145.0,0.0
5919808,45.0,37.3342939481,72.0,2.0
5919809,47.0,42.8369669546,93.0,0.0
5919811,46.0,36.1625386997,85.0,5.0
5919812,218.0,232.557692308,304.0,164.0
5919814,20.0,25.136761488,75.0,2.0
5919815,127.0,83.1599185129,145.0,0.0
5919816,62.0,25.5135135135,81.0,0.0
5919817,12.0,9.74193548387,20.0,0.0
5919818,38.0,35.6220183486,57.0,0.0
5919820,72.0,63.1403846154,98.0,45.0
5919821,53.0,52.5227272727,56.0,49.0
5919822,7.0,51.3854705722,504.0,-2.0
5921007,64.0,62.5005176271,321.0,0.0
5921008,119.0,181.101952732,507.0,0.0
5921010,51.0,30.3945976545,127.0,0.0
5921014,41.0,13.4100211524,184.0,0.0
5921016,731.0,443.270598773,1815.0,0.0
5921018,15.0,21.2408969888,69.0,0.0
5921023,55.0,48.1984815956,104.0,0.0
5921030,41.0,52.1294147018,554.0,0.0
5921032,147.0,279.129053844,1111.0,20.0
5921034,8.0,12.2945382926,121.0,0.0
5921036,137.0,299.784175565,1554.0,0.0
5921804,17.0,15.0974025974,23.0,0.0
5921805,65.0,36.1495844875,91.0,0.0
5921806,5.0,7.05863453815,24.0,0.0
5921807,23.0,12.9652268405,33.0,4.0
5923008,31.0,49.1324242513,198.0,0.0
5923019,32.0,10.8992603635,82.0,0.0
5923025,13.0,10.4530896432,86.0,0.0
5923033,99.0,350.4023418,1486.0,32.0
5923035,475.0,573.534593625,2034.0,0.0
5923037,58.0,58.1646907144,136.0,6.0
5923039,119.0,451.161819135,1568.0,0.0
5923047,421.0,253.035217833,1491.0,0.0
5923049,481.0,266.122859521,1815.0,0.0
5923801,9.0,11.0030959752,22.0,5.0
5923802,105.0,75.7435897436,129.0,18.0
5923803,7.0,15.7631416203,60.0,0.0
5923804,8.0,10.3797468354,30.0,0.0
5923805,176.0,96.045232588,312.0,2.0
5923806,8.0,16.4196721311,32.0,0.0
5923807,26.0,23.204320432,36.0,0.0
5923808,17.0,27.4108247423,97.0,0.0
5923809,66.0,57.7995584989,362.0,0.0
5923810,26.0,20.1819526627,54.0,0.0
5923813,34.0,29.6597402597,78.0,5.0
5923814,16.0,25.7699115044,63.0,0.0
5923816,51.0,36.3434049971,88.0,4.0
5923822,41.0,33.9907407407,67.0,10.0
5923823,13.0,14.4076433121,29.0,4.0
5923824,38.0,35.3909774436,61.0,0.0
5923825,12.0,11.5905172414,14.0,6.0
5924025,87.0,101.352064273,625.0,0.0
5924029,2.0,24.3794623182,234.0,0.0
5924030,7.0,41.4392797652,499.0,0.0
5924034,90.0,87.4075500316,402.0,0.0
5924039,12.0,26.86828616,343.0,0.0
5924042,381.0,751.094051243,2195.0,0.0
5924048,14.0,330.789154625,2154.0,-1.0
5924052,86.0,34.2342473204,447.0,0.0
5924054,8.0,966.830523888,3944.0,0.0
5924803,13.0,10.3120300752,32.0,0.0
5924804,4.0,3.13254637437,11.0,0.0
5924805,32.0,33.8567639257,110.0,0.0
5924806,5.0,20.6772727273,52.0,0.0
5924812,70.0,66.3473589973,86.0,14.0
5924813,41.0,18.7608695652,44.0,0.0
5924814,4.0,21.856884058,59.0,0.0
5924817,74.0,59.4222643896,91.0,0.0
5924818,31.0,31.2763636364,74.0,0.0
5924820,101.0,92.9056918314,186.0,0.0
5924833,14.0,26.5454545455,84.0,0.0
5924835,138.0,156.468347011,260.0,83.0
5924836,57.0,65.9918478261,177.0,0.0
5924840,76.0,71.1675915649,78.0,62.0
5926005,51.0,28.1575108127,76.0,0.0
5926010,12.0,42.5695406963,96.0,0.0
5926014,171.0,187.900059758,662.0,86.0
5926021,97.0,233.772803622,1530.0,0.0
5926022,2.0,9.36410171644,100.0,0.0
5926024,729.0,552.533473867,2089.0,0.0
5926801,7.0,26.4217758985,68.0,0.0
5926802,7.0,11.7355198883,29.0,1.0
5927008,100.0,70.0442345112,248.0,0.0
5927010,1453.0,950.392771122,3011.0,0.0
5927012,176.0,224.709909633,1085.0,0.0
5927016,154.0,443.493802963,1896.0,0.0
5927018,48.0,83.6919951061,883.0,0.0
5927020,17.0,14.3145249006,333.0,0.0
5927802,63.0,71.9495662854,261.0,0.0
5927806,38.0,29.9035532995,54.0,0.0
5929005,113.0,80.0252320876,162.0,0.0
5929011,136.0,72.1962456444,303.0,0.0
5929018,1199.0,700.28067473,2547.0,0.0
5929022,1020.0,643.748392292,2589.0,0.0
5929024,21.0,277.381762808,1661.0,0.0
5929026,73.0,156.137209597,1176.0,0.0
5929028,677.0,379.477732992,1734.0,0.0
5929801,53.0,35.2045454545,78.0,0.0
5929803,114.0,57.7640664602,358.0,0.0
5931006,17.0,149.372712697,931.0,0.0
5931012,351.0,376.463025973,1173.0,197.0
