FIELD,DESCRIPTION,TYPE
CENSUS_SUBDIVISION_ID,"CENSUS_SUBDIVISION_ID: Foreign Key, linking to CENSUS_SUBDIVISION_ID in CEN_CENSUS_SUBDIVISIONS, e.g., 5901022",Text
ELEVATION_POINT,Elevation (m) at the location of the census subdivision reference point,Number
ELEVATION_MEAN,Mean elevation (m )throughout the entire census subdivision,Number
ELEVATION_MAX,Maximum elevation (m) within the census subdivision,Number
ELEVATION_MIN,Minimum elevation (m) within the census subdivision,Number
