CENSUS_SUBDIVISION_ID,Tmax01,Tmax07,Tmin01,Tmin07,Tave01,Tave07,MAP,PAS,MAR
5901003,-3.9,21.5,-12.2,6.8,-8.1,14.2,599,251,348
5901006,-5.1,18.5,-11.7,6.9,-8.4,12.7,719,373,346
5901012,-1.3,24.6,-9.9,8.4,-5.6,16.5,812,247,565
5901017,-3,22.1,-11.1,7,-7.1,14.6,591,211,380
5901019,-0.7,27.2,-8.7,9.7,-4.7,18.4,470,111,359
5901022,-1.8,25.9,-10,9.2,-5.9,17.6,426,117,309
5901028,-2.5,24.7,-10.2,9.3,-6.4,17,525,176,349
5901035,-1.1,26.4,-9.6,9.3,-5.3,17.9,408,98,310
5901037,-2.9,21.2,-10.6,8.4,-6.8,14.8,732,327,405
5901039,-2.7,25.5,-10.6,9.2,-6.6,17.4,381,111,270
5901040,-2.9,25.1,-10.6,9.1,-6.7,17.1,388,109,279
5901043,-2,26.3,-11,9.9,-6.5,18.1,376,102,274
5901046,-3.5,24,-12,7.8,-7.7,15.9,485,163,322
5901048,-5.3,18,-12.6,6,-8.9,12,828,402,426
5901801,-1,27.2,-8.5,9.4,-4.8,18.3,445,103,342
5901802,-0.9,27,-9.6,9.5,-5.3,18.2,384,91,293
5901803,-1.3,26.6,-9.9,9.4,-5.6,18,389,97,292
5901804,-2.9,25.7,-11.1,9,-7,17.3,403,122,281
5901805,-1,26.5,-9.6,9.3,-5.3,17.9,413,99,314
5901806,-3,25.1,-10.8,9,-6.9,17.1,394,116,278
5903004,0.7,26.6,-5.4,11.2,-2.3,18.9,603,116,487
5903010,0.8,26,-4,11.7,-1.6,18.9,773,131,642
5903011,0.5,27.3,-4.9,10.9,-2.2,19.1,773,132,641
5903013,-1.1,25.2,-7.9,10.2,-4.5,17.7,654,188,466
5903015,0.7,27,-3.9,11.6,-1.6,19.3,709,113,596
5903017,-3.3,19.9,-8.9,8.1,-6.1,14,1272,601,671
5903019,0.8,26.7,-4.1,11.5,-1.6,19.1,740,126,614
5903023,0.7,25.6,-4.1,11.5,-1.7,18.5,816,146,670
5903027,0.7,26,-4.1,11.6,-1.7,18.8,814,133,681
5903032,0.7,26,-4.1,11.6,-1.7,18.8,801,131,670
5903039,-2.7,22.9,-7.7,9.5,-5.2,16.2,824,301,523
5903041,-2.9,20.1,-8.1,8.9,-5.5,14.5,1458,694,764
5903043,-3.5,18.8,-8.8,9.4,-6.1,14.1,1317,667,650
5903045,0.7,27.5,-3.8,11.9,-1.5,19.7,721,111,610
5903047,0.5,27.3,-4.9,10.9,-2.2,19.1,769,132,637
5903050,0.8,26.3,-4.2,11.2,-1.7,18.8,790,130,660
5903052,0.1,25.8,-4.4,11.2,-2.1,18.5,797,153,644
5903056,-2.7,21.1,-8.4,9.3,-5.6,15.2,1081,485,596
5903058,-0.6,25.1,-5.1,11.1,-2.8,18.1,845,200,645
5903060,0,25.9,-5,10.9,-2.5,18.4,785,155,630
5903807,1,27.1,-5.1,11.6,-2.1,19.4,537,98,439
5905005,0.5,28,-4.7,11.5,-2.1,19.8,713,125,588
5905009,0.4,28,-4.6,11.6,-2.1,19.8,692,121,571
5905014,0.6,28.3,-4.3,11.9,-1.8,20.1,716,117,599
5905018,0.5,27.8,-4.5,11.8,-2,19.8,742,129,613
5905023,-1.7,23.3,-6.8,10.8,-4.3,17.1,960,318,642
5905026,0.4,27.9,-4.7,11.5,-2.1,19.7,717,129,588
5905030,-2,21.4,-7.8,10.2,-4.9,15.8,907,349,558
5905032,0.3,28.8,-5.7,11.3,-2.7,20,474,92,382
5905037,-0.3,28.4,-6.7,10.8,-3.5,19.6,382,80,302
5905042,-1.2,26.6,-8.1,9.1,-4.6,17.9,498,139,359
5905050,0.3,28.5,-4.6,11.8,-2.1,20.1,529,90,439
5905052,-2.3,22.9,-8.8,8.7,-5.6,15.8,655,268,387
5905054,-1.8,23.6,-9,7.4,-5.4,15.5,576,200,376
5907005,1.7,29.9,-3.7,14.8,-1,22.3,297,32,265
5907009,0.9,28.4,-4.4,14.1,-1.7,21.3,290,38,252
5907014,1.6,29.5,-3.6,14.8,-1,22.2,299,30,269
5907022,1.7,29.8,-3.7,14.8,-1,22.3,298,32,266
5907024,-0.7,26.4,-8,9.7,-4.4,18.1,426,115,311
5907026,1.2,28.7,-4.1,14.8,-1.4,21.7,302,36,266
5907028,-0.3,24.5,-7.5,10.4,-3.9,17.5,450,113,337
5907035,0.7,25.8,-4.4,12.2,-1.9,19,359,53,306
5907041,1.3,27.6,-3.4,13.5,-1,20.5,301,31,270
5907047,1.2,28.3,-3.7,13.5,-1.2,20.9,307,33,274
5907049,-2.9,20.8,-8.6,7.9,-5.7,14.4,708,278,430
5907051,-1,23.1,-6.9,9.8,-3.9,16.5,455,132,323
5907053,0.3,27,-4.9,12.8,-2.3,19.9,373,57,316
5907055,-1,24.9,-8.5,8.8,-4.8,16.9,516,161,355
5907801,1.2,28.8,-4.1,14.7,-1.4,21.7,299,36,263
5907802,1.2,29,-4,14.4,-1.4,21.7,310,34,276
5907803,1,27.1,-3.8,13,-1.4,20,330,39,291
5907805,1.3,28.8,-4.1,14.9,-1.4,21.9,296,36,260
5907806,0.7,28.1,-4.5,14.1,-1.9,21.1,318,43,275
5907807,0,27.1,-5.6,11.5,-2.8,19.3,366,57,309
5907808,0.2,26.5,-5.1,12.7,-2.5,19.6,382,62,320
5907809,-0.7,23.3,-6.7,10.1,-3.7,16.7,457,118,339
5909009,4.6,24.1,0,13.4,2.3,18.8,1573,78,1495
5909014,1.5,26.4,-4.6,12,-1.5,19.2,846,162,684
5909016,2.4,22.5,-2.3,11.4,0.1,16.9,1593,192,1401
5909020,6.3,24.2,0.8,12.8,3.6,18.5,1584,52,1532
5909027,5.5,24.3,0.5,13,3,18.7,1904,74,1830
5909032,5.8,24.4,0.7,13,3.3,18.7,1810,66,1744
5909034,1.9,19.7,-3,10.2,-0.6,14.9,2433,399,2034
5909036,3.9,22.2,-0.7,11.5,1.6,16.8,1470,113,1357
5909048,3.6,23.8,-0.9,12,1.3,17.9,1575,131,1444
5909052,6.5,23.8,1,12.2,3.8,18,1636,51,1585
5909056,5.2,22.3,0.2,11.9,2.7,17.1,2517,130,2387
5909060,4.6,22.5,0.2,11.8,2.4,17.1,2174,125,2049
5909062,6.3,24.1,1,12.7,3.7,18.4,1664,52,1612
5909804,4.8,24.2,0.1,13.2,2.5,18.7,1877,86,1791
5909805,1.9,28.2,-3.6,13.5,-0.8,20.9,621,93,528
5909806,1.9,27.2,-3.5,13.1,-0.8,20.1,821,120,701
5909807,5.1,24.2,0.3,13.2,2.7,18.7,1960,84,1876
5909808,4.3,24.1,-0.3,13.4,2,18.7,1585,89,1496
5909809,3,25.3,-1.5,13.3,0.7,19.3,1571,144,1427
5909810,5,24.2,0.2,13.2,2.6,18.7,1928,84,1844
5909812,4.3,23.9,-0.3,13.2,2,18.5,1650,92,1558
5909814,5,24.2,0.2,13.2,2.6,18.7,1981,89,1892
5909815,1.9,27.4,-3.7,13,-0.9,20.2,736,114,622
5909816,2.8,26.4,-1.8,13.3,0.5,19.9,1213,118,1095
5909817,2.1,27.7,-2.7,13.7,-0.3,20.7,815,102,713
5909818,3.7,24.8,-0.9,13.1,1.4,19,1591,120,1471
5909819,1.8,27.5,-3.9,12.9,-1.1,20.2,659,105,554
5909821,6.3,24.2,0.9,12.8,3.6,18.5,1596,51,1545
5909824,6.3,24.2,0.9,12.8,3.6,18.5,1603,52,1551
5909825,6.3,24.2,0.9,12.8,3.6,18.5,1603,52,1551
5909826,6.3,24.2,0.9,12.9,3.6,18.5,1608,51,1557
5909827,6.1,24,0.7,12.6,3.4,18.3,1592,56,1536
5909830,6.2,24.1,0.8,12.7,3.5,18.4,1586,53,1533
5909831,6.3,24.2,0.8,12.8,3.5,18.5,1584,52,1532
5909832,5.4,24.2,0.6,13,3,18.6,1806,68,1738
5909833,6.1,24.2,0.9,12.8,3.5,18.5,1619,54,1565
5909834,5.8,24.2,0.6,13,3.2,18.6,1654,60,1594
5909835,6.3,24.2,0.9,12.9,3.6,18.5,1599,51,1548
5909836,1.9,27.1,-3.3,13,-0.7,20,878,129,749
5909837,5.7,24.1,0.5,12.8,3.1,18.4,1663,63,1600
5909838,6,24.2,0.8,12.8,3.4,18.5,1607,54,1553
5909839,5.9,24.3,0.8,12.9,3.4,18.6,1675,60,1615
5909841,4.2,24.1,-0.4,13.4,1.9,18.8,1558,92,1466
5909842,5.3,24.8,0.6,12.7,2.9,18.7,1488,68,1420
5909843,5.2,24.2,0.5,13.2,2.8,18.7,1819,73,1746
5909844,5.7,24.2,0.6,12.9,3.1,18.6,1731,63,1668
5909845,2.4,26.1,-2.9,11,-0.2,18.5,1121,129,992
5909847,1.9,27.9,-3.3,13.4,-0.7,20.7,757,106,651
5909848,4.9,24.8,0.3,12.5,2.6,18.7,1439,73,1366
5909849,6.2,24.2,0.9,12.8,3.6,18.5,1594,52,1542
5909852,-0.6,26.8,-5,10.6,-2.8,18.7,934,215,719
5909875,-0.4,26.7,-4.9,10.6,-2.6,18.6,1037,224,813
5909876,3.9,24.5,-0.7,13.3,1.6,18.9,1600,106,1494
5909877,6.4,24,0.9,12.4,3.7,18.2,1574,50,1524
5909878,6.5,23.7,1.1,12.1,3.8,17.9,1656,52,1604
5909879,6.1,23.8,0.7,12.7,3.4,18.3,1739,62,1677
5909880,6.3,24.1,1,12.9,3.6,18.5,1677,52,1625
5909881,6.3,24.2,1,12.9,3.7,18.5,1623,50,1573
5909882,6.2,24.1,0.9,12.8,3.5,18.4,2000,70,1930
5909883,1.9,25.9,-3.5,10.8,-0.8,18.4,1235,175,1060
