census_subdivision_id,census_year,clab_id,band_number,first_nation_name_primary,first_nation_name_secondary,nation,data_notes
5943816,2011,,633,Quatsino,,,
5951809,2011,,615,Saik'uz First Nation,,,
5909883,2011,,567,Samahquam,,,
5955801,2011,,542,Saulteau First Nations,,,
5909882,2011,,568,Scowlitz,,,
5909832,2011,,581,Seabird Island,,,
5929803,2011,,551,Sechelt,,,
5915801,2011,,569,Semiahmoo,,,
5931831,2011,,595,Seton Lake,,,
5933859,2011,,698,Shackan,,,
5901806,2011,,605,Shuswap,,,
5909807,2011,,587,Shxw'ow'hamel First Nation,,,
5909826,2011,,570,Shxwhá:y Village,Skway,,
5949818,2011,,533,Sik-e-Dakh ,Glen Vowell,,
5933887,2011,,691,Simpcw First Nation,North Thompson River Indian Band,,
5933849,2011,,706,Siska,,,
5909845,2011,,562,Skatin Nations,Skookumchuck,,
5909814,2011,,582,Skawahlook First Nation,,,
5933817,2011,,687,Skeetchestn Indian Band,Deadman's Creek,,
5947804,2011,,670,Skidegate,,,
5951823,2011,,726,Skin Tyee,,,
5909884,2011,,571,Skowkale,,,
5933825,2011,,707,Skuppah,,,
5909824,2011,,573,Skwah,,,
5927802,2011,,554,Sliammon,Tla'amin,,
5921804,2011,,648,Snuneymuxw First Nation,,,
5917812,2011,,656,Songhees First Nation,,,
5909827,2011,,572,Soowahlie,,,
5937802,2011,,600,Splatsin,Spallumcheen,,
5909816,2011,,708,Spuzzum,,,
5915807,2011,,555,Squamish,,,
5909885,2011,,574,Squiala First Nation,,,
5951807,2011,,613,Stellat'en First Nation,,,
5909839,2011,,559,Sts'ailes,Chehalis Indian Band,,
5941806,2011,,723,Stswecem'c Xgat'tem First Nation,Canoe Creek Indian Band,,
5919804,2011,,641,Stz'uminus First Nation,Chemainus First Nation,,
5909877,2011,,578,Sumas First Nation,,,
5931821,2011,,593,T'it'q'et Administration,Lillooet Indian Band,,
5917819,2011,,657,T'sou-Ke First Nation,Sooke,,
5949843,2011,,682,Tahltan,,,
5951848,2011,,608,Takla Lake First Nation,,,
5957802,2011,,501,Taku River Tlingit,Atlin First Nation,,"AANDC First Nation Profiles includes this nation in Yukon, not BC.                                                         "
5933880,2011,,688,Tk'emlúps te Secwépemc,Kamloops Indian Band,,
5951810,2011,,617,Tl'azt'en Nation,,,
5941821,2011,,712,Tl'etinqox Government,Anaham Indian Band,,
5923813,2011,,660,Tla-o-qui-aht First Nations,Clayoquot,,
