census_subdivision_id,clab_id,federal_riding_id
5933849,(null),-6531
5909845,(null),-6531
5909814,(null),-6531
5947804,(null),-6511
5951823,(null),-6511
5909884,(null),-6531
5933825,(null),-6531
5909824,(null),-6531
5927802,(null),-6500
5903019,(null),-6510
5951043,(null),-6511
5921804,(null),-6521
5917812,(null),-6528
5917052,(null),-6528
5909827,(null),-6531
5937024,(null),-6518
5937802,(null),-6518
5909816,(null),-6531
5915807,(null),-6517
5931006,(null),-6500
5909885,(null),-6531
5951807,(null),-6511
5909839,(null),-6531
5941806,(null),-6532
5919804,(null),-6521
5909877,(null),-6535
5907035,(null),-6516
5933045,(null),-6526
5931821,(null),-6531
5917819,(null),-6528
5949843,(null),-6511
5924030,(null),-6505
5951848,(null),-6511
5957802,(null),-6511
5955030,(null),-6514
5951038,(null),-6511
5949011,(null),-6511
5933880,(null),-6526
5951810,(null),-6511
5941821,(null),-6532
5923813,(null),-6522
5943836,(null),-6505
(null),7113,-6505
5923025,(null),-6522
5941850,(null),-6532
5923810,(null),-6522
5905014,(null),-6510
5931829,(null),-6531
5917804,(null),-6512
5917803,(null),-6512
5915802,(null),-6530
5955812,(null),-6514
5923816,(null),-6522
5917802,(null),-6512
5941839,(null),-6532
5915806,(null),-6517
5955003,(null),-6514
5909830,(null),-6531
5923805,(null),-6522
5923019,(null),-6522
5923807,(null),-6522
5941840,(null),-6532
5909808,(null),-6531
5933802,(null),-6516
5907807,(null),-6510
5953007,(null),-6526
5951007,(null),-6532
5917047,(null),-6528
5905018,(null),-6510
5941025,(null),-6532
5955802,(null),-6514
5935802,(null),-6516
5951820,(null),-6511
5933877,(null),-6526
5915007,(null),-6509
5941009,(null),-6532
5941812,(null),-6532
5941805,(null),-6532
5931816,(null),-6531
5909842,(null),-6531
5941829,(null),-6532
5931813,(null),-6531
5909831,(null),-6531
5909818,(null),-6531
5951801,(null),-6511
5941841,(null),-6532
5924029,(null),-6505
