field,type,description
census_division_id,string,"CENSUS_DIVISION_ID: Foreign Key, linking to CENSUS_DIVISION_ID in CEN_CENSUS_DIVISIONS"
regional_govt_chair_name,string,Name of the Regional District Chair
regional_govt_chair_city,string,Name of the city represented by the Regional District Chair
