census_subdivision_id,clab_id,prov_riding_id
5941005,(null),10
5933854,(null),23
5907005,(null),5
5907802,(null),5
5945803,(null),39
5917815,(null),24
5917801,(null),56
5931012,(null),84
5919809,(null),35
5909843,(null),13
5909844,(null),13
5923008,(null),4
5943017,(null),40
5947030,(null),39
5947007,(null),39
5943023,(null),40
5943012,(null),40
5955005,(null),46
5927008,(null),50
5947012,(null),39
5907024,(null),23
5959810,(null),45
5921806,(null),4
5943816,(null),40
5947026,(null),39
5941013,(null),11
5901040,(null),14
5939019,(null),14
5905023,(null),30
5951809,(null),36
5903011,(null),37
5939032,(null),58
5909883,(null),13
5955801,(null),46
5924039,(null),40
5909832,(null),13
5929803,(null),50
5929011,(null),50
5931831,(null),23
5933859,(null),23
5901806,(null),14
5909807,(null),13
5909826,(null),12
5939045,(null),58
5917010,(null),56
5949818,(null),60
5903027,(null),30
5933887,(null),25
5933849,(null),23
5909845,(null),13
5909814,(null),13
5947804,(null),39
5951823,(null),36
5909884,(null),12
5933825,(null),23
5909824,(null),12
5927802,(null),50
5903019,(null),30
5951043,(null),60
5917812,(null),21
5917052,(null),24
5909827,(null),13
5937802,(null),58
5909816,(null),13
5915807,(null),41
5931006,(null),84
5909885,(null),12
5951807,(null),36
5909839,(null),13
5941806,(null),10
5919804,(null),35
5909877,(null),2
5907035,(null),47
5931821,(null),23
5917819,(null),24
5949843,(null),60
5924030,(null),40
5951848,(null),36
5957802,(null),60
5951038,(null),60
5949011,(null),59
5951810,(null),36
5941821,(null),10
5923813,(null),4
5943836,(null),40
(null),7113,50
5901801,(null),29
5923025,(null),4
5941850,(null),10
5923810,(null),4
5905014,(null),30
5931829,(null),23
5917804,(null),56
5917803,(null),56
5915802,(null),20
5955812,(null),45
5923816,(null),4
5917802,(null),56
5941839,(null),10
5915806,(null),42
5955003,(null),46
5923805,(null),4
5923019,(null),4
5923807,(null),4
5941840,(null),10
5909808,(null),13
5933802,(null),23
5907807,(null),5
5953007,(null),52
5951007,(null),36
5905018,(null),30
5941025,(null),11
5955802,(null),46
5935802,(null),85
5951820,(null),36
5933877,(null),25
5931020,(null),84
5941805,(null),11
5931816,(null),23
5909842,(null),13
5941829,(null),10
5931813,(null),23
5909831,(null),12
5909818,(null),13
5951801,(null),36
5941841,(null),10
5924029,(null),40
5915011,(null),64
5909020,(null),2
5909052,(null),22
5915011,(null),67
5915011,(null),63
5915004,(null),48
5915004,(null),20
5915004,(null),17
5915075,(null),3
5909032,(null),1
5915011,(null),65
