field,type,description
labour_market_prjctn_id,integer,primary key
geography_id,string,GEOGRAPHY_ID: The Statistics Canada ID associated with the geographic area associated with the value
census_year,float,"CENSUS YEAR is the census year that the data is collected. e.g., 2006, 2011."
geography_name,string,Name of the geography represented
projection_year,string,The year to which the estimate corresponds
occupation_code,string,An occupation's National Occupational Classification (NOC) code
occupation_description,string,An occupation's National Occupational Classification (NOC) title
demand_outlook_value,integer,demand outlook numbers
supply_outlook_value,integer,supply outlook numbers
