labour_market_exprep_id,census_year,geography_id,geography_name,projection_start_year,projection_end_year,occupation_code,occupation_description,occupation_characteristic,expansion_or_replacement_value
,2011,59,British Columbia,2010,2020,NOC001,Legislators and senior management,Expansion,3930
,2011,59,British Columbia,2010,2020,NOC001,Legislators and senior management,Replacement,11160
,2011,59,British Columbia,2010,2020,NOC001,Legislators and senior management,Total,15090
,2011,59,British Columbia,2010,2020,NOC011,Administrative services managers,Expansion,2970
,2011,59,British Columbia,2010,2020,NOC011,Administrative services managers,Replacement,7600
,2011,59,British Columbia,2010,2020,NOC011,Administrative services managers,Total,10570
,2011,59,British Columbia,2010,2020,NOC012,Managers in financial and business services,Expansion,2600
,2011,59,British Columbia,2010,2020,NOC012,Managers in financial and business services,Replacement,9330
,2011,59,British Columbia,2010,2020,NOC012,Managers in financial and business services,Total,11930
,2011,59,British Columbia,2010,2020,NOC013,Managers in communication (except broadcasting),Expansion,290
,2011,59,British Columbia,2010,2020,NOC013,Managers in communication (except broadcasting),Replacement,600
,2011,59,British Columbia,2010,2020,NOC013,Managers in communication (except broadcasting),Total,890
,2011,59,British Columbia,2010,2020,NOC021,"Managers in engineering, architecture, science and information systems",Expansion,1370
,2011,59,British Columbia,2010,2020,NOC021,"Managers in engineering, architecture, science and information systems",Replacement,2690
,2011,59,British Columbia,2010,2020,NOC021,"Managers in engineering, architecture, science and information systems",Total,4060
,2011,59,British Columbia,2010,2020,NOC031,"Managers in health, education, social and community services",Expansion,1930
,2011,59,British Columbia,2010,2020,NOC031,"Managers in health, education, social and community services",Replacement,5430
,2011,59,British Columbia,2010,2020,NOC031,"Managers in health, education, social and community services",Total,7360
,2011,59,British Columbia,2010,2020,NOC041,Managers in public administration,Expansion,200
,2011,59,British Columbia,2010,2020,NOC041,Managers in public administration,Replacement,770
,2011,59,British Columbia,2010,2020,NOC041,Managers in public administration,Total,970
,2011,59,British Columbia,2010,2020,NOC051,"Managers in art, culture, recreation and sport",Expansion,620
,2011,59,British Columbia,2010,2020,NOC051,"Managers in art, culture, recreation and sport",Replacement,1380
,2011,59,British Columbia,2010,2020,NOC051,"Managers in art, culture, recreation and sport",Total,2000
,2011,59,British Columbia,2010,2020,NOC061,"Sales, marketing and advertising managers",Expansion,3480
,2011,59,British Columbia,2010,2020,NOC061,"Sales, marketing and advertising managers",Replacement,8200
,2011,59,British Columbia,2010,2020,NOC061,"Sales, marketing and advertising managers",Total,11680
,2011,59,British Columbia,2010,2020,NOC062,Managers in retail trade,Expansion,6200
,2011,59,British Columbia,2010,2020,NOC062,Managers in retail trade,Replacement,19930
,2011,59,British Columbia,2010,2020,NOC062,Managers in retail trade,Total,26130
,2011,59,British Columbia,2010,2020,NOC063,Managers in food service and accommodation,Expansion,3590
,2011,59,British Columbia,2010,2020,NOC063,Managers in food service and accommodation,Replacement,7630
,2011,59,British Columbia,2010,2020,NOC063,Managers in food service and accommodation,Total,11220
,2011,59,British Columbia,2010,2020,NOC064,Managers in protective services,Expansion,160
,2011,59,British Columbia,2010,2020,NOC064,Managers in protective services,Replacement,750
,2011,59,British Columbia,2010,2020,NOC064,Managers in protective services,Total,910
,2011,59,British Columbia,2010,2020,NOC065,Managers in other services,Expansion,1060
,2011,59,British Columbia,2010,2020,NOC065,Managers in other services,Replacement,2220
,2011,59,British Columbia,2010,2020,NOC065,Managers in other services,Total,3280
,2011,59,British Columbia,2010,2020,NOC071,Managers in construction and transportation,Expansion,2580
,2011,59,British Columbia,2010,2020,NOC071,Managers in construction and transportation,Replacement,8740
,2011,59,British Columbia,2010,2020,NOC071,Managers in construction and transportation,Total,11320
,2011,59,British Columbia,2010,2020,NOC072,Facility operation and maintenance managers,Expansion,850
,2011,59,British Columbia,2010,2020,NOC072,Facility operation and maintenance managers,Replacement,2450
,2011,59,British Columbia,2010,2020,NOC072,Facility operation and maintenance managers,Total,3300
,2011,59,British Columbia,2010,2020,NOC081,Managers in primary production (except agriculture),Expansion,340
,2011,59,British Columbia,2010,2020,NOC081,Managers in primary production (except agriculture),Replacement,1000
,2011,59,British Columbia,2010,2020,NOC081,Managers in primary production (except agriculture),Total,1340
,2011,59,British Columbia,2010,2020,NOC091,Managers in manufacturing and utilities,Expansion,1280
,2011,59,British Columbia,2010,2020,NOC091,Managers in manufacturing and utilities,Replacement,4210
,2011,59,British Columbia,2010,2020,NOC091,Managers in manufacturing and utilities,Total,5490
,2011,59,British Columbia,2010,2020,NOC111,"Auditors, accountants and investment professionals",Expansion,6420
,2011,59,British Columbia,2010,2020,NOC111,"Auditors, accountants and investment professionals",Replacement,14230
,2011,59,British Columbia,2010,2020,NOC111,"Auditors, accountants and investment professionals",Total,20650
,2011,59,British Columbia,2010,2020,NOC112,Human resources and business service professionals,Expansion,2340
,2011,59,British Columbia,2010,2020,NOC112,Human resources and business service professionals,Replacement,4400
,2011,59,British Columbia,2010,2020,NOC112,Human resources and business service professionals,Total,6740
,2011,59,British Columbia,2010,2020,NOC121,Clerical supervisors,Expansion,1550
,2011,59,British Columbia,2010,2020,NOC121,Clerical supervisors,Replacement,4190
,2011,59,British Columbia,2010,2020,NOC121,Clerical supervisors,Total,5740
,2011,59,British Columbia,2010,2020,NOC122,Administrative and regulatory occupations,Expansion,7690
,2011,59,British Columbia,2010,2020,NOC122,Administrative and regulatory occupations,Replacement,18760
,2011,59,British Columbia,2010,2020,NOC122,Administrative and regulatory occupations,Total,26450
,2011,59,British Columbia,2010,2020,NOC123,Finance and insurance administrative occupations,Expansion,4890
,2011,59,British Columbia,2010,2020,NOC123,Finance and insurance administrative occupations,Replacement,10820
,2011,59,British Columbia,2010,2020,NOC123,Finance and insurance administrative occupations,Total,15710
,2011,59,British Columbia,2010,2020,NOC124,"Secretaries, recorders and transcriptionists",Expansion,5450
,2011,59,British Columbia,2010,2020,NOC124,"Secretaries, recorders and transcriptionists",Replacement,12380
,2011,59,British Columbia,2010,2020,NOC124,"Secretaries, recorders and transcriptionists",Total,17830
,2011,59,British Columbia,2010,2020,NOC141,"Clerical occupations, general office skills",Expansion,12400
,2011,59,British Columbia,2010,2020,NOC141,"Clerical occupations, general office skills",Replacement,19890
,2011,59,British Columbia,2010,2020,NOC141,"Clerical occupations, general office skills",Total,32290
,2011,59,British Columbia,2010,2020,NOC142,Office equipment operators,Expansion,1080
,2011,59,British Columbia,2010,2020,NOC142,Office equipment operators,Replacement,1880
,2011,59,British Columbia,2010,2020,NOC142,Office equipment operators,Total,2960
,2011,59,British Columbia,2010,2020,NOC143,Finance and insurance clerks,Expansion,5660
,2011,59,British Columbia,2010,2020,NOC143,Finance and insurance clerks,Replacement,12370
,2011,59,British Columbia,2010,2020,NOC143,Finance and insurance clerks,Total,18030
,2011,59,British Columbia,2010,2020,NOC144,Administrative support clerks,Expansion,2690
,2011,59,British Columbia,2010,2020,NOC144,Administrative support clerks,Replacement,5100
,2011,59,British Columbia,2010,2020,NOC144,Administrative support clerks,Total,7790
,2011,59,British Columbia,2010,2020,NOC145,"Library, correspondence and related information clerks",Expansion,3870
,2011,59,British Columbia,2010,2020,NOC145,"Library, correspondence and related information clerks",Replacement,5620
,2011,59,British Columbia,2010,2020,NOC145,"Library, correspondence and related information clerks",Total,9490
,2011,59,British Columbia,2010,2020,NOC146,Mail and message distribution occupations,Expansion,1890
,2011,59,British Columbia,2010,2020,NOC146,Mail and message distribution occupations,Replacement,4320
,2011,59,British Columbia,2010,2020,NOC146,Mail and message distribution occupations,Total,6210
,2011,59,British Columbia,2010,2020,NOC147,"Recording, scheduling and distributing occupations",Expansion,3950
,2011,59,British Columbia,2010,2020,NOC147,"Recording, scheduling and distributing occupations",Replacement,8140
,2011,59,British Columbia,2010,2020,NOC147,"Recording, scheduling and distributing occupations",Total,12090
,2011,59,British Columbia,2010,2020,NOC211,Physical science professionals,Expansion,710
,2011,59,British Columbia,2010,2020,NOC211,Physical science professionals,Replacement,1180
,2011,59,British Columbia,2010,2020,NOC211,Physical science professionals,Total,1890
,2011,59,British Columbia,2010,2020,NOC212,Life science professionals,Expansion,830
,2011,59,British Columbia,2010,2020,NOC212,Life science professionals,Replacement,1810
,2011,59,British Columbia,2010,2020,NOC212,Life science professionals,Total,2640
,2011,59,British Columbia,2010,2020,NOC213,"Civil, mechanical, electrical and chemical engineers",Expansion,2500
,2011,59,British Columbia,2010,2020,NOC213,"Civil, mechanical, electrical and chemical engineers",Replacement,4310
,2011,59,British Columbia,2010,2020,NOC213,"Civil, mechanical, electrical and chemical engineers",Total,6810
,2011,59,British Columbia,2010,2020,NOC214,Other engineers,Expansion,1210
,2011,59,British Columbia,2010,2020,NOC214,Other engineers,Replacement,1870
,2011,59,British Columbia,2010,2020,NOC214,Other engineers,Total,3080
,2011,59,British Columbia,2010,2020,NOC215,"Architects, urban planners and land surveyors",Expansion,980
,2011,59,British Columbia,2010,2020,NOC215,"Architects, urban planners and land surveyors",Replacement,1630
,2011,59,British Columbia,2010,2020,NOC215,"Architects, urban planners and land surveyors",Total,2610
,2011,59,British Columbia,2010,2020,NOC216,"Mathematicians, statisticians and actuaries",Expansion,80
,2011,59,British Columbia,2010,2020,NOC216,"Mathematicians, statisticians and actuaries",Replacement,120
,2011,59,British Columbia,2010,2020,NOC216,"Mathematicians, statisticians and actuaries",Total,200
,2011,59,British Columbia,2010,2020,NOC217,Computer and information systems professionals,Expansion,6820
,2011,59,British Columbia,2010,2020,NOC217,Computer and information systems professionals,Replacement,7710
,2011,59,British Columbia,2010,2020,NOC217,Computer and information systems professionals,Total,14530
,2011,59,British Columbia,2010,2020,NOC221,Technical occupations in physical sciences,Expansion,660
,2011,59,British Columbia,2010,2020,NOC221,Technical occupations in physical sciences,Replacement,930
,2011,59,British Columbia,2010,2020,NOC221,Technical occupations in physical sciences,Total,1590
,2011,59,British Columbia,2010,2020,NOC222,Technical occupations in life sciences,Expansion,990
,2011,59,British Columbia,2010,2020,NOC222,Technical occupations in life sciences,Replacement,2160
,2011,59,British Columbia,2010,2020,NOC222,Technical occupations in life sciences,Total,3150
,2011,59,British Columbia,2010,2020,NOC223,"Technical occupations in civil, mechanical and industrial engineering",Expansion,780
,2011,59,British Columbia,2010,2020,NOC223,"Technical occupations in civil, mechanical and industrial engineering",Replacement,1560
,2011,59,British Columbia,2010,2020,NOC223,"Technical occupations in civil, mechanical and industrial engineering",Total,2340
,2011,59,British Columbia,2010,2020,NOC224,Technical occupations in electronics and electrical engineering,Expansion,1940
,2011,59,British Columbia,2010,2020,NOC224,Technical occupations in electronics and electrical engineering,Replacement,3690
,2011,59,British Columbia,2010,2020,NOC224,Technical occupations in electronics and electrical engineering,Total,5630
,2011,59,British Columbia,2010,2020,NOC225,"Technical occupations in architecture, drafting, surveying and mapping",Expansion,1420
,2011,59,British Columbia,2010,2020,NOC225,"Technical occupations in architecture, drafting, surveying and mapping",Replacement,1970
,2011,59,British Columbia,2010,2020,NOC225,"Technical occupations in architecture, drafting, surveying and mapping",Total,3390
,2011,59,British Columbia,2010,2020,NOC226,Other technical inspectors and regulatory officers,Expansion,770
,2011,59,British Columbia,2010,2020,NOC226,Other technical inspectors and regulatory officers,Replacement,1760
,2011,59,British Columbia,2010,2020,NOC226,Other technical inspectors and regulatory officers,Total,2530
,2011,59,British Columbia,2010,2020,NOC227,Transportation officers and controllers,Expansion,890
,2011,59,British Columbia,2010,2020,NOC227,Transportation officers and controllers,Replacement,2500
,2011,59,British Columbia,2010,2020,NOC227,Transportation officers and controllers,Total,3390
,2011,59,British Columbia,2010,2020,NOC228,Technical occupations in computer and information systems,Expansion,2360
,2011,59,British Columbia,2010,2020,NOC228,Technical occupations in computer and information systems,Replacement,2770
,2011,59,British Columbia,2010,2020,NOC228,Technical occupations in computer and information systems,Total,5130
,2011,59,British Columbia,2010,2020,NOC311,"Physicians, dentists and veterinarians",Expansion,4980
,2011,59,British Columbia,2010,2020,NOC311,"Physicians, dentists and veterinarians",Replacement,5130
,2011,59,British Columbia,2010,2020,NOC311,"Physicians, dentists and veterinarians",Total,10110
,2011,59,British Columbia,2010,2020,NOC312,"Optometrists, chiropractors and other health diagnosing and treating professionals",Expansion,500
,2011,59,British Columbia,2010,2020,NOC312,"Optometrists, chiropractors and other health diagnosing and treating professionals",Replacement,440
,2011,59,British Columbia,2010,2020,NOC312,"Optometrists, chiropractors and other health diagnosing and treating professionals",Total,940
,2011,59,British Columbia,2010,2020,NOC313,"Pharmacists, dieticians and nutritionists",Expansion,890
,2011,59,British Columbia,2010,2020,NOC313,"Pharmacists, dieticians and nutritionists",Replacement,1250
,2011,59,British Columbia,2010,2020,NOC313,"Pharmacists, dieticians and nutritionists",Total,2140
,2011,59,British Columbia,2010,2020,NOC314,Therapy and assessment professionals,Expansion,1870
,2011,59,British Columbia,2010,2020,NOC314,Therapy and assessment professionals,Replacement,1730
,2011,59,British Columbia,2010,2020,NOC314,Therapy and assessment professionals,Total,3600
,2011,59,British Columbia,2010,2020,NOC315,Nurse supervisors and registered nurses,Expansion,12390
,2011,59,British Columbia,2010,2020,NOC315,Nurse supervisors and registered nurses,Replacement,16790
,2011,59,British Columbia,2010,2020,NOC315,Nurse supervisors and registered nurses,Total,29180
,2011,59,British Columbia,2010,2020,NOC321,Medical technologists and technicians (except dental health),Expansion,3500
,2011,59,British Columbia,2010,2020,NOC321,Medical technologists and technicians (except dental health),Replacement,3960
,2011,59,British Columbia,2010,2020,NOC321,Medical technologists and technicians (except dental health),Total,7460
,2011,59,British Columbia,2010,2020,NOC322,Technical occupations in dental health care,Expansion,1070
,2011,59,British Columbia,2010,2020,NOC322,Technical occupations in dental health care,Replacement,1240
,2011,59,British Columbia,2010,2020,NOC322,Technical occupations in dental health care,Total,2310
,2011,59,British Columbia,2010,2020,NOC323,Other technical occupations in health care (except dental),Expansion,4250
,2011,59,British Columbia,2010,2020,NOC323,Other technical occupations in health care (except dental),Replacement,5580
,2011,59,British Columbia,2010,2020,NOC323,Other technical occupations in health care (except dental),Total,9830
,2011,59,British Columbia,2010,2020,NOC341,Assisting occupations in support of health services,Expansion,10750
,2011,59,British Columbia,2010,2020,NOC341,Assisting occupations in support of health services,Replacement,11480
,2011,59,British Columbia,2010,2020,NOC341,Assisting occupations in support of health services,Total,22230
,2011,59,British Columbia,2010,2020,NOC411,"Judges, lawyers and Quebec notaries",Expansion,2060
,2011,59,British Columbia,2010,2020,NOC411,"Judges, lawyers and Quebec notaries",Replacement,3420
,2011,59,British Columbia,2010,2020,NOC411,"Judges, lawyers and Quebec notaries",Total,5480
,2011,59,British Columbia,2010,2020,NOC412,University professors and assistants,Expansion,1230
,2011,59,British Columbia,2010,2020,NOC412,University professors and assistants,Replacement,4750
,2011,59,British Columbia,2010,2020,NOC412,University professors and assistants,Total,5980
,2011,59,British Columbia,2010,2020,NOC413,College and other vocational instructors,Expansion,1370
,2011,59,British Columbia,2010,2020,NOC413,College and other vocational instructors,Replacement,6070
,2011,59,British Columbia,2010,2020,NOC413,College and other vocational instructors,Total,7440
,2011,59,British Columbia,2010,2020,NOC414,Secondary and elementary school teachers and educational counsellors,Expansion,3270
,2011,59,British Columbia,2010,2020,NOC414,Secondary and elementary school teachers and educational counsellors,Replacement,20750
,2011,59,British Columbia,2010,2020,NOC414,Secondary and elementary school teachers and educational counsellors,Total,24020
,2011,59,British Columbia,2010,2020,NOC415,"Psychologists, social workers, counsellors, clergy and probation officers",Expansion,4490
,2011,59,British Columbia,2010,2020,NOC415,"Psychologists, social workers, counsellors, clergy and probation officers",Replacement,8630
,2011,59,British Columbia,2010,2020,NOC415,"Psychologists, social workers, counsellors, clergy and probation officers",Total,13120
,2011,59,British Columbia,2010,2020,NOC416,"Policy and program officers, researchers and consultants",Expansion,3400
,2011,59,British Columbia,2010,2020,NOC416,"Policy and program officers, researchers and consultants",Replacement,7080
,2011,59,British Columbia,2010,2020,NOC416,"Policy and program officers, researchers and consultants",Total,10480
,2011,59,British Columbia,2010,2020,NOC421,"Paralegals, social services workers and occupations in education and religion, n.e.c.",Expansion,13030
,2011,59,British Columbia,2010,2020,NOC421,"Paralegals, social services workers and occupations in education and religion, n.e.c.",Replacement,15170
,2011,59,British Columbia,2010,2020,NOC421,"Paralegals, social services workers and occupations in education and religion, n.e.c.",Total,28200
,2011,59,British Columbia,2010,2020,NOC511,"Librarians, archivists, conservators and curators",Expansion,420
,2011,59,British Columbia,2010,2020,NOC511,"Librarians, archivists, conservators and curators",Replacement,800
,2011,59,British Columbia,2010,2020,NOC511,"Librarians, archivists, conservators and curators",Total,1220
,2011,59,British Columbia,2010,2020,NOC512,"Writing, translating and public relations professionals",Expansion,2540
,2011,59,British Columbia,2010,2020,NOC512,"Writing, translating and public relations professionals",Replacement,3990
,2011,59,British Columbia,2010,2020,NOC512,"Writing, translating and public relations professionals",Total,6530
,2011,59,British Columbia,2010,2020,NOC513,Creating and performing artists,Expansion,3230
,2011,59,British Columbia,2010,2020,NOC513,Creating and performing artists,Replacement,5400
,2011,59,British Columbia,2010,2020,NOC513,Creating and performing artists,Total,8630
,2011,59,British Columbia,2010,2020,NOC521,"Technical occupations in libraries, archives, museums and art galleries",Expansion,460
,2011,59,British Columbia,2010,2020,NOC521,"Technical occupations in libraries, archives, museums and art galleries",Replacement,890
,2011,59,British Columbia,2010,2020,NOC521,"Technical occupations in libraries, archives, museums and art galleries",Total,1350
,2011,59,British Columbia,2010,2020,NOC522,"Photographers, graphic arts technicians and technical and co-ordinating occupations",Expansion,1890
,2011,59,British Columbia,2010,2020,NOC522,"Photographers, graphic arts technicians and technical and co-ordinating occupations",Replacement,2300
,2011,59,British Columbia,2010,2020,NOC522,"Photographers, graphic arts technicians and technical and co-ordinating occupations",Total,4190
,2011,59,British Columbia,2010,2020,NOC523,Announcers and other performers,Expansion,300
,2011,59,British Columbia,2010,2020,NOC523,Announcers and other performers,Replacement,350
,2011,59,British Columbia,2010,2020,NOC523,Announcers and other performers,Total,650
,2011,59,British Columbia,2010,2020,NOC524,Creative designers and craftspersons,Expansion,2750
,2011,59,British Columbia,2010,2020,NOC524,Creative designers and craftspersons,Replacement,4420
,2011,59,British Columbia,2010,2020,NOC524,Creative designers and craftspersons,Total,7170
,2011,59,British Columbia,2010,2020,NOC525,"Athletes, coaches, referees and related occupations",Expansion,2690
,2011,59,British Columbia,2010,2020,NOC525,"Athletes, coaches, referees and related occupations",Replacement,2810
,2011,59,British Columbia,2010,2020,NOC525,"Athletes, coaches, referees and related occupations",Total,5500
,2011,59,British Columbia,2010,2020,NOC621,Sales and service supervisors,Expansion,2760
,2011,59,British Columbia,2010,2020,NOC621,Sales and service supervisors,Replacement,4430
,2011,59,British Columbia,2010,2020,NOC621,Sales and service supervisors,Total,7190
,2011,59,British Columbia,2010,2020,NOC622,"Technical sales specialists, wholesale trade",Expansion,1000
,2011,59,British Columbia,2010,2020,NOC622,"Technical sales specialists, wholesale trade",Replacement,1780
,2011,59,British Columbia,2010,2020,NOC622,"Technical sales specialists, wholesale trade",Total,2780
,2011,59,British Columbia,2010,2020,NOC623,Insurance and real estate sales occupations and buyers,Expansion,2180
,2011,59,British Columbia,2010,2020,NOC623,Insurance and real estate sales occupations and buyers,Replacement,5960
,2011,59,British Columbia,2010,2020,NOC623,Insurance and real estate sales occupations and buyers,Total,8140
,2011,59,British Columbia,2010,2020,NOC624,Chefs and cooks,Expansion,6720
,2011,59,British Columbia,2010,2020,NOC624,Chefs and cooks,Replacement,7650
,2011,59,British Columbia,2010,2020,NOC624,Chefs and cooks,Total,14370
,2011,59,British Columbia,2010,2020,NOC625,Butchers and bakers,Expansion,1110
,2011,59,British Columbia,2010,2020,NOC625,Butchers and bakers,Replacement,2210
,2011,59,British Columbia,2010,2020,NOC625,Butchers and bakers,Total,3320
,2011,59,British Columbia,2010,2020,NOC626,Police officers and firefighters,Expansion,1250
,2011,59,British Columbia,2010,2020,NOC626,Police officers and firefighters,Replacement,3520
,2011,59,British Columbia,2010,2020,NOC626,Police officers and firefighters,Total,4770
,2011,59,British Columbia,2010,2020,NOC627,Technical occupations in personal service,Expansion,2920
,2011,59,British Columbia,2010,2020,NOC627,Technical occupations in personal service,Replacement,4100
,2011,59,British Columbia,2010,2020,NOC627,Technical occupations in personal service,Total,7020
,2011,59,British Columbia,2010,2020,NOC641,"Sales representatives, wholesale trade",Expansion,2900
,2011,59,British Columbia,2010,2020,NOC641,"Sales representatives, wholesale trade",Replacement,6130
,2011,59,British Columbia,2010,2020,NOC641,"Sales representatives, wholesale trade",Total,9030
,2011,59,British Columbia,2010,2020,NOC642,Retail salespersons and sales clerks,Expansion,12590
,2011,59,British Columbia,2010,2020,NOC642,Retail salespersons and sales clerks,Replacement,22050
,2011,59,British Columbia,2010,2020,NOC642,Retail salespersons and sales clerks,Total,34640
,2011,59,British Columbia,2010,2020,NOC643,Occupations in travel and accommodation,Expansion,2850
,2011,59,British Columbia,2010,2020,NOC643,Occupations in travel and accommodation,Replacement,5030
,2011,59,British Columbia,2010,2020,NOC643,Occupations in travel and accommodation,Total,7880
,2011,59,British Columbia,2010,2020,NOC644,Tour and recreational guides and casino occupations,Expansion,1370
,2011,59,British Columbia,2010,2020,NOC644,Tour and recreational guides and casino occupations,Replacement,2280
,2011,59,British Columbia,2010,2020,NOC644,Tour and recreational guides and casino occupations,Total,3650
,2011,59,British Columbia,2010,2020,NOC645,Occupations in food and beverage service,Expansion,6560
,2011,59,British Columbia,2010,2020,NOC645,Occupations in food and beverage service,Replacement,4550
,2011,59,British Columbia,2010,2020,NOC645,Occupations in food and beverage service,Total,11110
,2011,59,British Columbia,2010,2020,NOC646,Other occupations in protective service,Expansion,1060
,2011,59,British Columbia,2010,2020,NOC646,Other occupations in protective service,Replacement,2810
,2011,59,British Columbia,2010,2020,NOC646,Other occupations in protective service,Total,3870
,2011,59,British Columbia,2010,2020,NOC647,Childcare and home support workers,Expansion,8390
,2011,59,British Columbia,2010,2020,NOC647,Childcare and home support workers,Replacement,14540
,2011,59,British Columbia,2010,2020,NOC647,Childcare and home support workers,Total,22930
,2011,59,British Columbia,2010,2020,NOC648,Other occupations in personal service,Expansion,1950
,2011,59,British Columbia,2010,2020,NOC648,Other occupations in personal service,Replacement,2720
,2011,59,British Columbia,2010,2020,NOC648,Other occupations in personal service,Total,4670
,2011,59,British Columbia,2010,2020,NOC661,Cashiers,Expansion,5130
,2011,59,British Columbia,2010,2020,NOC661,Cashiers,Replacement,7180
,2011,59,British Columbia,2010,2020,NOC661,Cashiers,Total,12310
,2011,59,British Columbia,2010,2020,NOC662,Other sales and related occupations,Expansion,3350
,2011,59,British Columbia,2010,2020,NOC662,Other sales and related occupations,Replacement,5420
,2011,59,British Columbia,2010,2020,NOC662,Other sales and related occupations,Total,8770
,2011,59,British Columbia,2010,2020,NOC664,"Food counter attendants, kitchen helpers and related occupations",Expansion,8200
,2011,59,British Columbia,2010,2020,NOC664,"Food counter attendants, kitchen helpers and related occupations",Replacement,6380
,2011,59,British Columbia,2010,2020,NOC664,"Food counter attendants, kitchen helpers and related occupations",Total,14580
,2011,59,British Columbia,2010,2020,NOC665,Security guards and related occupations,Expansion,2370
,2011,59,British Columbia,2010,2020,NOC665,Security guards and related occupations,Replacement,3630
,2011,59,British Columbia,2010,2020,NOC665,Security guards and related occupations,Total,6000
,2011,59,British Columbia,2010,2020,NOC666,Cleaners,Expansion,10810
,2011,59,British Columbia,2010,2020,NOC666,Cleaners,Replacement,21200
,2011,59,British Columbia,2010,2020,NOC666,Cleaners,Total,32010
,2011,59,British Columbia,2010,2020,NOC667,"Other occupations in travel, accommodation, amusement and recreation",Expansion,780
,2011,59,British Columbia,2010,2020,NOC667,"Other occupations in travel, accommodation, amusement and recreation",Replacement,1010
,2011,59,British Columbia,2010,2020,NOC667,"Other occupations in travel, accommodation, amusement and recreation",Total,1790
,2011,59,British Columbia,2010,2020,NOC668,Other elemental service occupations,Expansion,1460
,2011,59,British Columbia,2010,2020,NOC668,Other elemental service occupations,Replacement,2280
,2011,59,British Columbia,2010,2020,NOC668,Other elemental service occupations,Total,3740
,2011,59,British Columbia,2010,2020,NOC721,"Contractors and supervisors, trades and related workers",Expansion,2100
,2011,59,British Columbia,2010,2020,NOC721,"Contractors and supervisors, trades and related workers",Replacement,6930
,2011,59,British Columbia,2010,2020,NOC721,"Contractors and supervisors, trades and related workers",Total,9030
,2011,59,British Columbia,2010,2020,NOC722,"Supervisors, railway and motor transportation occupations",Expansion,150
,2011,59,British Columbia,2010,2020,NOC722,"Supervisors, railway and motor transportation occupations",Replacement,510
,2011,59,British Columbia,2010,2020,NOC722,"Supervisors, railway and motor transportation occupations",Total,660
,2011,59,British Columbia,2010,2020,NOC723,Machinists and related occupations,Expansion,610
,2011,59,British Columbia,2010,2020,NOC723,Machinists and related occupations,Replacement,1300
,2011,59,British Columbia,2010,2020,NOC723,Machinists and related occupations,Total,1910
,2011,59,British Columbia,2010,2020,NOC724,Electrical trades and telecommunication occupations,Expansion,2660
,2011,59,British Columbia,2010,2020,NOC724,Electrical trades and telecommunication occupations,Replacement,7440
,2011,59,British Columbia,2010,2020,NOC724,Electrical trades and telecommunication occupations,Total,10100
,2011,59,British Columbia,2010,2020,NOC725,"Plumbers, pipefitters and gas fitters",Expansion,1450
,2011,59,British Columbia,2010,2020,NOC725,"Plumbers, pipefitters and gas fitters",Replacement,3500
,2011,59,British Columbia,2010,2020,NOC725,"Plumbers, pipefitters and gas fitters",Total,4950
,2011,59,British Columbia,2010,2020,NOC726,"Metal forming, shaping and erecting trades",Expansion,2200
,2011,59,British Columbia,2010,2020,NOC726,"Metal forming, shaping and erecting trades",Replacement,4620
,2011,59,British Columbia,2010,2020,NOC726,"Metal forming, shaping and erecting trades",Total,6820
,2011,59,British Columbia,2010,2020,NOC727,Carpenters and cabinetmakers,Expansion,3500
,2011,59,British Columbia,2010,2020,NOC727,Carpenters and cabinetmakers,Replacement,9680
,2011,59,British Columbia,2010,2020,NOC727,Carpenters and cabinetmakers,Total,13180
,2011,59,British Columbia,2010,2020,NOC728,Masonry and plastering trades,Expansion,1340
,2011,59,British Columbia,2010,2020,NOC728,Masonry and plastering trades,Replacement,3150
,2011,59,British Columbia,2010,2020,NOC728,Masonry and plastering trades,Total,4490
,2011,59,British Columbia,2010,2020,NOC729,Other construction trades,Expansion,2560
,2011,59,British Columbia,2010,2020,NOC729,Other construction trades,Replacement,5770
,2011,59,British Columbia,2010,2020,NOC729,Other construction trades,Total,8330
,2011,59,British Columbia,2010,2020,NOC731,Machinery and transportation equipment mechanics (except motor vehicle),Expansion,2540
,2011,59,British Columbia,2010,2020,NOC731,Machinery and transportation equipment mechanics (except motor vehicle),Replacement,7480
,2011,59,British Columbia,2010,2020,NOC731,Machinery and transportation equipment mechanics (except motor vehicle),Total,10020
,2011,59,British Columbia,2010,2020,NOC732,Automotive service technicians,Expansion,3850
,2011,59,British Columbia,2010,2020,NOC732,Automotive service technicians,Replacement,7150
,2011,59,British Columbia,2010,2020,NOC732,Automotive service technicians,Total,11000
,2011,59,British Columbia,2010,2020,NOC733,Other mechanics,Expansion,540
,2011,59,British Columbia,2010,2020,NOC733,Other mechanics,Replacement,1360
,2011,59,British Columbia,2010,2020,NOC733,Other mechanics,Total,1900
,2011,59,British Columbia,2010,2020,NOC734,"Upholsterers, tailors, shoe repairers, jewellers and related occupations",Expansion,730
,2011,59,British Columbia,2010,2020,NOC734,"Upholsterers, tailors, shoe repairers, jewellers and related occupations",Replacement,1830
,2011,59,British Columbia,2010,2020,NOC734,"Upholsterers, tailors, shoe repairers, jewellers and related occupations",Total,2560
,2011,59,British Columbia,2010,2020,NOC735,Stationary engineers and power station and system operators,Expansion,220
,2011,59,British Columbia,2010,2020,NOC735,Stationary engineers and power station and system operators,Replacement,890
