FIELD,DESCRIPTION,TYPE,RETAIN
CENSUS_SUBDIVISION_ID,"CENSUS_SUBDIVISION_ID: Foreign Key, linking to CENSUS_SUBDIVISION_ID in CEN_CENSUS_SUBDIVISIONS, e.g., 5901022",Text,Y
DCC_RESIDENTIAL_SFD,Sample Single Family Dwelling Development Cost Charge rate,Text,Y
DCC_RESIDENTIAL_MFD,Sample Multi Family Dwelling Development Cost Charge,Text,Y
DCC_COMMERCIAL,Sample Commercial use Development Cost Charge,Text,Y
DCC_INDUSTRIAL,Sample Industrial use Development Cost Charge,Text,Y
DCC_NOTES,Notes and further information regarding Development Cost Charges,Text,Y
