FIELD,DESCRIPTION,TYPE,RETAIN
CENSUS_DIVISION_ID,"CENSUS_DIVISION_ID: Foreign Key, linking to CENSUS_DIVISION_ID in CEN_CENSUS_DIVISIONS, e.g., 5923",Text,Y
DCC_RESIDENTIAL_SFD,Sample Single Family Dwelling Development Cost Charge rate,Text,Y
DCC_COMMERCIAL,Sample Commercial use Development Cost Charge,Text,Y
DCC_INDUSTRIAL,Sample Industrial use Development Cost Charge,Text,Y
DCC_NOTES,Notes and further information regarding Development Cost Charges,Text,Y
