field,type,description
geography_id,string,GEOGRAPHY_ID: is a foreign Key to link to IDs in CEN_CENSUS_ECONOMIC_REGIONS or CEN_CENSUS_METRO_AREAS
census_year,integer,"CENSUS YEAR is the census year that the data is collected. e.g., 2006, 2011."
geography_type_code,string,Type of geography to which the GEOGRAPHY_ID relates
unemployment_current,float,Current unemployment (percentage)
unemployment_y1,float,One year forecast unemployment (percentage)
unemployment_y2,float,Two year forecast unemployment (percentage)
