census_year,noc_2011_code,noc_2011_description,b.c._median,b.c._low_10thpctl,b.c._high_90thpctl,b.c._source,vancouver_island_coast_median,vic_low_10thpctl,vic_high_90thpctl,vic_year,vic_source,northeast_median,ne_low_10thpctl,ne_high_90thpctl,ne_year,ne_source,north_coast_nechako_median,ncn_low_10thpctl,ncn_high_90thpctl,ncn_year,ncn_source,thompson-okanagan_median,tok_low_10thpctl,tok_high_90thpctl,tok_year,tok_source,cariboo_median,car_low_10thpctl,car_high_90thpctl,car_year,car_source,mainland_southwest_median,msw_low_10thpctl,msw_high_90thpctl,msw_year,msw_source,kootenays_median,kot_low_10thpctl,kot_high_90thpctl,kot_year,kot_source
2011,1452,"Correspondence, publication and regulatory clerks",17.75,10.25,26.63,Census 2006 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,17.68,11.52,27.86,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,6552,Other customer and information services representatives,17,10.25,26.22,LFS 2011-12 PR NOC4,16.5,11,23.5,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,18.54,10.25,24.88,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,17,10.25,26.22,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,14,10.25,23.13,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,17,10.25,26.22,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,18,10.5,26.79,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,1454,Survey interviewers and statistical clerks,15.04,10.25,30.44,Census 2006 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,16.76,10.25,37.02,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,1511,"Mail, postal and related workers",21,10.25,25,LFS 2011-12 PR NOC4,21,10.25,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,21,10.25,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,21,10.25,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,21,10.25,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,20.63,10.5,24.95,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,21,10.25,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,1512,Letter carriers,24,17.82,25,LFS 2011-12 PR NOC4,24,17.82,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,24,17.82,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24,17.82,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24,17.82,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24,17.5,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24,17.82,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,1513,"Couriers, messengers and door-to-door distributors",10.35,10.25,25,LFS 2011-12 PR NOC4,10.35,10.25,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,10.35,10.25,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,10.25,10.25,25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,1521,Shippers and receivers,16,10.25,24,LFS 2011-12 PR NOC4,15,11,26,Reference Period:л_2010-2011,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,15,10.55,20,Reference Period:л_2011-2012,Source: Employment Insurance Data,15,10.3,22,Reference Period:л_2011-2012,Source: Employment Insurance Data,16,10.25,23,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,16,10.25,24,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,1522,Storekeepers and partspersons,19.47,10.25,29.5,LFS 2011-12 PR NOC4,19.47,10.25,29.5,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,22.32,15.15,42.65,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,19.47,10.25,29.5,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,22,13.1,33.31,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,19.47,10.25,29.5,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,19.47,10.25,29.5,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,1523,Production logistics co-ordinators,21,12,36.75,LFS 2011-12 PR NOC4,21,12,36.75,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,21,12,36.75,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,21,12,36.75,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,1524,Purchasing and inventory control workers,18.86,12.75,31.25,LFS 2011-12 PR NOC4,18.86,12.75,31.25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,18.86,12.75,31.25,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,18.46,12.5,30.29,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,1525,Dispatchers,21.63,12,32,LFS 2011-12 PR NOC4,21.63,12,32,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,21.63,12,32,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,22.52,10.25,28.04,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,21.63,12,32,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,21.63,12,32,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,20,12,34,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,21.63,12,32,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,1526,Transportation route and crew schedulers,24.2,12.3,32.74,Census 2006 PR NOC4,,,,Data limitations - refer to provincial wage,0,,,,Data limitations - refer to provincial wage,0,,,,Data limitations - refer to provincial wage,0,,,,Data limitations - refer to provincial wage,0,,,,Data limitations - refer to provincial wage,0,23.62,16.52,32.38,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,0
2011,2111,Physicists and astronomers,41.13,12.25,56.31,Census 2006 PR NOC4,36.49,10.25,52.42,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,39.83,12.24,56.45,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2112,Chemists,28.92,18.75,48.2,EI 2011-12 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,28.92,18.75,48.2,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,29.07,19.28,48.2,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,2113,Geoscientists and oceanographers,37.98,12.5,63.08,LFS 2011-12 PR NOC3,37.98,12.5,63.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,35.71,12.5,63.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2114,Meteorologists and climatologists,40.25,20.49,49.04,Census 2006 PR NOC4,38.89,10.25,40.39,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,44.22,33.54,50.04,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2115,Other professional occupations in physical sciences,31.42,17.59,44.11,Census 2006 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,29.12,10.25,42.94,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,
2011,2121,Biologists and related scientists,35.9,17.34,43.8,LFS 2011-12 PR NOC4,35.9,17.34,43.8,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,35.9,17.34,43.8,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,35.9,17.34,43.8,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,35.9,17.34,43.8,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,35.9,17.34,43.8,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,2122,Forestry professionals,31,22.44,51.28,LFS 2011-12 PR NOC4,31,22.44,51.28,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,31,22.44,51.28,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,31,22.44,51.28,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,31,22.44,51.28,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,31,22.44,51.28,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,31,22.44,51.28,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2123,"Agricultural representatives, consultants and specialists",32.97,19,46.15,LFS 2011-12 PR NOC3,32.97,19,46.15,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,32.97,19,46.15,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,32.97,19,46.15,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2131,Civil engineers,34,24.62,54,LFS 2011-12 PR NOC4,34,24.62,54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,34,24.62,54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,34,24.62,54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,33,24.62,53.85,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,34,24.62,54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,2132,Mechanical engineers,37.5,20.58,57.69,LFS 2011-12 PR NOC4,37.5,20.58,57.69,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,38.46,20.58,57.69,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2133,Electrical and electronics engineers,37.99,25,49.23,LFS 2011-12 PR NOC4,37.99,25,49.23,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,37.99,25,49.23,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,36.06,25,49.23,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2134,Chemical engineers,33.65,27.83,60,EI 2011-12 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,33.65,27.83,60,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,2141,Industrial and manufacturing engineers,28.99,19.33,41.21,EI 2011-12 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,28.99,20.29,41.07,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,2142,Metallurgical and materials engineers,,,,NA,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,
2011,2143,Mining engineers,34.23,13.43,82.12,Census 2006 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,29.07,19.21,36.23,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,36.66,12.29,97.41,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2144,Geological engineers,30,22.5,51.22,EI 2011-12 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,34.6,19,36.52,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,30,22.5,51.22,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,2145,Petroleum engineers,37.4,16.35,73.95,Census 2006 PR NOC4,30.72,16.41,110.26,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,33.1,32.9,74.01,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,37.35,15.21,52.54,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2146,Aerospace engineers,35.62,18.8,56,Census 2006 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,35.66,18.81,56.58,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2147,Computer engineers (except software engineers and designers),33.04,16.16,58.09,Census 2006 PR NOC4,32.16,18.64,45.84,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,28.69,14.41,46.74,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,29.86,20.95,51.77,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,33.95,15.46,60.14,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2148,"Other professional engineers, n.e.c.",34.27,24.59,45.78,EI 2011-12 PR NOC4,34.27,24.59,45.78,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,34.27,24.59,45.78,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,2151,Architects,33.65,19,43.27,LFS 2010-11 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,33.65,19,43.27,Reference Period:л_2010-2011,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,33.65,19,43.27,Reference Period:л_2010-2011,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2152,Landscape architects,26.91,13.82,43,Census 2006 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,27.61,13.81,43.08,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2153,Urban and land use planners,35,21,49.36,EI 2011-12 PR NOC4,32.39,17,44.22,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,35,21,49.36,Reference Period:л_2011-2012,Source: Employment Insurance Data,35,21,49.36,Reference Period:л_2011-2012,Source: Employment Insurance Data,35,21,49.36,Reference Period:л_2011-2012,Source: Employment Insurance Data,35,21,49.36,Reference Period:л_2011-2012,Source: Employment Insurance Data
2011,2154,Land surveyors,26.5,17.72,35,EI 2011-12 PR NOC4,22.5,16.5,31.02,Reference Period:л_2010-2011,Source: Employment Insurance Data,31.51,23.04,49.5,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,26.5,17.92,36.5,Reference Period:л_2011-2012,Source: Employment Insurance Data,25.13,10.25,36.8,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,27,18,34.51,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,1254,Statistical officers and related research support occupations,29.88,18.04,49,EI 2010-11 PR NOC4,29.88,18.04,49,Reference Period:л_2010-2011,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,32.91,19.95,52.17,Reference Period:л_2010-2011,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,2161,"Mathematicians, statisticians and actuaries",29.88,18.04,49,EI 2010-11 PR NOC4,29.88,18.04,49,Reference Period:л_2010-2011,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,32.91,19.95,52.17,Reference Period:л_2010-2011,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,2171,Information systems analysts and consultants,33.65,21.15,48.08,LFS 2011-12 PR NOC4,32.9,25,42.67,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,35,19.87,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,33.65,21.15,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,2172,Database analysts and data administrators,31,17.5,43.27,LFS 2011-12 PR NOC4,31.14,18.28,43.95,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,31,17.5,43.27,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,31,17.5,43.27,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2173,Software engineers and designers,38.46,21.63,62.5,LFS 2011-12 PR NOC4,38.46,21.63,62.5,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,38.46,21.63,63.46,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2174,Computer programmers and interactive media developers,33.53,19.23,48.08,LFS 2011-12 PR NOC4,31.25,16,51.28,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,33.65,19.23,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,33.53,19.23,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,2175,Web designers and developers,23.08,14,43.27,LFS 2011-12 PR NOC4,23.08,14,43.27,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,23.08,14,43.27,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2211,Chemical technologists and technicians,23.08,13,37.02,LFS 2011-12 PR NOC3,23.08,13,37.02,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,23.08,13,37.02,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,22.97,20.63,31.99,Reference Period:л_2006,Source: 2006 Census - Statistics Canada
2011,2212,Geological and mineral technologists and technicians,23.78,10.25,40.76,Census 2006 PR NOC4,25.41,17.63,31.71,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,24.02,16.82,51.33,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,23.06,16.5,34.06,Reference Period:л_2011-2012,Source: Employment Insurance Data,27.99,11.63,30.56,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,22.75,14.96,32.5,Reference Period:л_2011-2012,Source: Employment Insurance Data,23.79,10.25,32.68,Reference Period:л_2006,Source: 2006 Census - Statistics Canada
2011,2221,Biological technologists and technicians,18.75,15,25.65,EI 2011-12 PR NOC4,18.27,15,23.2,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,17.77,15,23,Reference Period:л_2011-2012,Source: Employment Insurance Data,19.5,15,25.75,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,20,15,27.33,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,2222,Agricultural and fish products inspectors,27.26,11.2,35.19,Census 2006 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,27.04,10.25,43.5,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,28.49,14.28,35.15,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2223,Forestry technologists and technicians,24.35,18,35,LFS 2011-12 PR NOC4,24.35,18,35,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24.35,18,35,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24.35,18,35,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24.35,18,35,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24.35,18,35,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24.35,18,35,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24.35,18,35,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,2224,Conservation and fishery officers,27.51,13.74,35.62,Census 2006 PR NOC4,31.43,17,36.74,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,28.41,23.14,32.26,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,25.09,11.11,36.12,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,29.5,14.67,40.79,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,27.81,10.25,34.86,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,23.2,12.81,33.82,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2225,Landscape and horticulture technicians and specialists,22,12,34.15,LFS 2011-12 PR NOC4,22,12,34.15,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,22,12,34.15,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,22,12,34.15,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2231,Civil engineering technologists and technicians,28,20,48.56,LFS 2011-12 PR NOC4,,,,Data limitations - refer to provincial wage,,28.89,19.39,37.2,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,28,20,48.56,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,28,20,48.56,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2232,Mechanical engineering technologists and technicians,27.13,18.59,41.6,EI 2011-12 PR NOC4,26.75,18,37,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,25,17.5,40,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,27.78,18.84,41.6,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,2233,Industrial engineering and manufacturing technologists and technicians,26.92,18.27,43,LFS 2011-12 PR NOC3,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,26.92,18.27,43,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,26,18.27,43,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,2234,Construction estimators,26.92,18.27,43,LFS 2011-12 PR NOC3,26.92,18.27,43,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,26.31,18.56,39.6,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,26,18.27,43,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
