census_year,noc_2011_code,noc_2011_description,b.c._median,b.c._low_10thpctl,b.c._high_90thpctl,b.c._source,vancouver_island_coast_median,vic_low_10thpctl,vic_high_90thpctl,vic_year,vic_source,northeast_median,ne_low_10thpctl,ne_high_90thpctl,ne_year,ne_source,north_coast_nechako_median,ncn_low_10thpctl,ncn_high_90thpctl,ncn_year,ncn_source,thompson-okanagan_median,tok_low_10thpctl,tok_high_90thpctl,tok_year,tok_source,cariboo_median,car_low_10thpctl,car_high_90thpctl,car_year,car_source,mainland_southwest_median,msw_low_10thpctl,msw_high_90thpctl,msw_year,msw_source,kootenays_median,kot_low_10thpctl,kot_high_90thpctl,kot_year,kot_source
2011,122,"Banking, credit and other investment managers",35.38,18.27,54.95,LFS 2011-12 PR NOC4,,,,Data limitations - refer to provincial wage,,35.38,18.27,54.95,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,35.38,18.27,54.95,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,35.38,18.27,54.95,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,125,Other business services managers,30.24,19.85,48.05,EI 2011-12 PR NOC4,26.45,20.63,42.97,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,27.47,18.2,37.77,Reference Period:л_2010-2011,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,31.19,19.87,48.91,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,
2011,131,Telecommunication carriers managers,40.4,17.98,74.22,Census 2006 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,42.81,18.67,77.41,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,132,Postal and courier services managers,19.68,10.25,44.93,Census 2006 PR NOC4,25.12,10.25,46.16,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,19.66,10.25,44.84,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,19.92,10.25,43.17,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,211,Engineering managers,49.52,27.35,58.46,LFS 2011-12 PR NOC4,49.52,27.35,58.46,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,49.52,27.35,58.46,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,49.52,27.35,58.46,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,212,Architecture and science managers,43,20,61.54,LFS 2011-12 PR NOC3,43,20,61.54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,43.27,19.45,62.5,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,213,Computer and information systems managers,43.27,20,60.1,LFS 2011-12 PR NOC4,43.27,20,60.1,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,43.27,20,60.1,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,43.27,17,60.44,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,311,Managers in health care,44.13,24.65,61.54,LFS 2011-12 PR NOC4,44.13,24.65,61.54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,44.13,24.65,61.54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,44.13,24.65,61.54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,44.13,24.65,61.54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,44.13,24.65,61.54,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,421,Administrators - post-secondary education and vocational training,36.1,18,58.24,LFS 2011-12 PR NOC4,36.1,18,58.24,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,36.1,18,58.24,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,38.46,22,56.41,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,36.1,18,58.24,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,422,School principals and administrators of elementary and secondary education,44.18,28.85,54.81,LFS 2011-12 PR NOC4,44.18,28.85,54.81,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,44.18,28.85,54.81,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,44.18,28.85,54.81,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,44.18,28.85,54.81,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,45.67,28.85,55.29,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,44.18,28.85,54.81,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
