FIELD,TYPE,DESCRIPTION
NOC 2011 Code,,
NOC 2011 Description,,
ESDC Median,,
ESDC Low (10th %ile),,
ESDC High (90th %ile),,
ESDC Source,,
ESDC Vancouver Island Coast  Median,,
ESDC VIC Low (10th %ile),,
ESDC VIC High (90% %ile),,
VIC Year,,
VIC Source,,
ESDC Northeast Median,,
ESDC NE Low (10th %ile),,
ESDC NE High (90% %ile),,
NE Year,,
NE Source,,
ESDC North Coast Nechako Median,,
ESDC NCN Low (10th %ile),,
ESDC NCN High (90% %ile),,
NCN Year,,
NCN Source,,
ESDC Thompson-Okanagan Median,,
ESDC TOK Low (10th %ile),,
ESDC TOK High (90% %ile),,
TOK Year,,
TOK Source,,
ESDC Cariboo Median,,
ESDC CAR Low (10th %ile),,
ESDC CAR High (90% %ile),,
CAR Year,,
CAR Source,,
ESDC Mainland Southwest Median,,
ESDC MSW Low (10th %ile),,
ESDC MSW High (90% %ile),,
MSW Year,,
MSW Source,,
ESDC Kootenays Median,,
ESDC KOT Low (10th %ile),,
ESDC KOT High (90% %ile),,
KOT Year,,
KOT Source,,
