DRAFT_COLUMN_NAME,DRAFT_COLUMN_TYPE,SECTION,CATEGORY,IECD_ATTRIBUTE,EXACT_MATCH,SOURCE_TOPIC,SOURCE_COLUMN,SOURCE_CHARACTERISTICS,SOURCE_TABLE,NOTES,SOURCE_FILE_URI
median_age,float,2.4,Population,Median age,Y,Age characteristics,total,Median age of the population,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
hshld_n,int,na,Households,Number,Y,Household and dwelling characteristics,total,Total number of private households by household size,census,,http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp_download.cfm?LANG=E&CTLG=98-316-XWE2011001&FMT=CSV301
hshldincome_median,float,2.1,Household income,Median Household Income,Y,Income of households in 2010 (total),total,Median household total income ($),nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_5kunder,float,2.1,Household income,"Household income $35,000 and under",N,Income of households in 2010 (total),total,"Under $5,000",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_5k_10k,float,2.1,Household income,"Household income $35,000 and under",N,Income of households in 2010 (total),total,"$5,000 to $9,999",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_10k_15k,float,2.1,Household income,"Household income $35,000 and under",N,Income of households in 2010 (total),total,"$10,000 to $14,999  ",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_15k_20k,float,2.1,Household income,"Household income $35,000 and under",N,Income of households in 2010 (total),total,"$15,000 to $19,999  ",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_20k_30k,float,2.1,Household income,"Household income $35,000 and under",N,Income of households in 2010 (total),total,"$20,000 to $29,999  ",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_30k_40k,float,2.1,Household income,"Household income $35,001 - $50,000",N,Income of households in 2010 (total),total,"$30,000 to $39,999  ",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_40k_50k,float,2.1,Household income,"Household income $35,001 - $50,000",N,Income of households in 2010 (total),total,"$40,000 to $49,999  ",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_50k_60k,float,2.1,Household income,"Household income $50,001 - $75,000",N,Income of households in 2010 (total),total,"$50,000 to $59,999  ",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_60k_80k,float,2.1,Household income,"Household income $50,001 - $75,000",N,Income of households in 2010 (total),total,"$60,000 to $79,999  ",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_80k_100k,float,2.1,Household income,"Household income $75,001 and over",N,Income of households in 2010 (total),total,"$80,000 to $99,999  ",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_100k_125k,float,2.1,Household income,"Household income $75,001 and over",N,Income of households in 2010 (total),total,"$100,000 to $124,999",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_125k_150k,float,2.1,Household income,"Household income $75,001 and over",N,Income of households in 2010 (total),total,"$125,000 to $149,999",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
hshldincome_150kplus,float,2.1,Household income,"Household income $75,001 and over",N,Income of households in 2010 (total),total,"$150,000 and over",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
wrkfrc_ed_u12,int,7.5,Workforce Education Attainment (25 - 64 Years of Age),Under - 12 Years,Y,Education (25-64),total,"No certificate, diploma or degree",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
wrkfrc_ed_12,int,7.5,Workforce Education Attainment (25 - 64 Years of Age),12 Years Only,Y,Education (25-64),total,High school diploma or equivalent,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
wrkfrc_ed_asscdeg,int,7.5,Workforce Education Attainment (25 - 64 Years of Age),Associate Degrees,N,Education (25-64),total,Apprenticeship or trades certificate or diploma; Apprenticeship or trades certificate or diploma; University certificate or diploma below bachelor level; ,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
wrkfrc_ed_collegegrad_gt16yrs,int,7.5,Workforce Education Attainment (25 - 64 Years of Age),16 Years - More,N,Education (25-64),total,"University certificate, diploma or degree above bachelor level",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
wrkfrc_ed_collegegrad_16yrs,int,7.5,Workforce Education Attainment (25 - 64 Years of Age),16 Years Only,N,Education (25-64),total,Bachelor's degree,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_agriculture,int,7.1,Labor Force by Sector,"11 Agriculture, forestry, fishing and hunting",N,Industry,total,"11 Agriculture, forestry, fishing and hunting",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_mining,int,7.1,Labor Force by Sector,"21 Mining, quarrying, and oil and gas extraction",N,Industry,total,"21 Mining, quarrying, and oil and gas extraction",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_utilities,int,7.1,Labor Force by Sector,22 Utilities,N,Industry,total,22 Utilities,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_construction,int,7.1,Labor Force by Sector,23 Construction,N,Industry,total,23 Construction,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_manufacturing,int,7.1,Labor Force by Sector,31-33 Manufacturing,N,Industry,total,31-33 Manufacturing,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_wholesale,int,7.1,Labor Force by Sector,41 Wholesale trade,N,Industry,total,41 Wholesale trade,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_retail,int,7.1,Labor Force by Sector,44-45 Retail trade,N,Industry,total,44-45 Retail trade,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_transport,int,7.1,Labor Force by Sector,48-49 Transportation and warehousing,N,Industry,total,48-49 Transportation and warehousing,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_info_cultural,int,7.1,Labor Force by Sector,51 Information and cultural industries,N,Industry,total,51 Information and cultural industries,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_finance_insurance,int,7.1,Labor Force by Sector,52 Finance and insurance,N,Industry,total,52 Finance and insurance,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_realestate,int,7.1,Labor Force by Sector,53 Real estate and rental and leasing,N,Industry,total,53 Real estate and rental and leasing,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_professional,int,7.1,Labor Force by Sector,"54 Professional, scientific and technical services",N,Industry,total,"54 Professional, scientific and technical services",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_management,int,7.1,Labor Force by Sector,55 Management of companies and enterprises,N,Industry,total,55 Management of companies and enterprises,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_admin_waste,int,7.1,Labor Force by Sector,"56 Administrative and support, waste management and remediation services",N,Industry,total,"56 Administrative and support, waste management and remediation services",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_education,int,7.1,Labor Force by Sector,61 Educational services,N,Industry,total,61 Educational services,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_health,int,7.1,Labor Force by Sector,62 Health care and social assistance,N,Industry,total,62 Health care and social assistance,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_arts_rec,int,7.1,Labor Force by Sector,"71 Arts, entertainment and recreation",N,Industry,total,"71 Arts, entertainment and recreation",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_accomm_food,int,7.1,Labor Force by Sector,72 Accommodation and food services,N,Industry,total,72 Accommodation and food services,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
